Date/Time,[1] Dew Point Temperature (C),[1] Diffuse Horizontal Radiation (Wh/m2),[1] Direct Normal Radiation (Wh/m2),[1] Dry Bulb Temperature (C),[1] Relative Humidity (),[1] Total Sky Cover (tenths),[1] Wind Direction ,[1] Wind Speed (m/s),[1] Surface Outside Face Temperature ,Lats,Longs
Year 1 Dec 06 09:00,-0.3,98,139,16.4,32,8,360,0.7,16.42916032,26.263863,73.008957
Year 1 Dec 06 10:00,1.8,179,229,19.2,32,8,360,0.7,18.98276357,26.263863,73.008957
Year 1 Dec 06 11:00,1.2,230,332,22,25,8,360,1,20.91603826,26.263863,73.008957
Year 1 Dec 06 12:00,0.9,248,423,24.5,21,8,50,1.3,23.06515769,26.263863,73.008957
Year 1 Dec 06 13:00,0.8,233,521,25.2,20,7,50,1.4,26.77205225,26.263863,73.008957
Year 1 Dec 06 14:00,0.9,218,530,26.2,19,7,50,1.3,34.07017422,26.263863,73.008957
Year 1 Dec 06 15:00,0,180,552,26.2,18,6,50,1.1,40.11529383,26.263863,73.008957
Year 1 Dec 06 16:00,-0.4,119,613,26.5,17,5,50,0.8,42.74361271,26.263863,73.008957
Year 1 Dec 06 17:00,-0.6,83,399,26.3,17,5,50,0.5,39.95576239,26.263863,73.008957
Year 1 Dec 06 18:00,-1.6,11,276,24.9,17,5,50,0.2,30.41243982,26.263863,73.008957
Year 1 Dec 06 19:00,-2,0,0,23.4,18,5,50,0.2,26.00736742,26.263863,73.008957
Year 1 Dec 06 20:00,-2.1,0,0,23.2,18,5,50,0.5,23.44436985,26.263863,73.008957
Year 1 Dec 06 21:00,0.4,0,0,21.7,25,5,360,0.8,21.73592765,26.263863,73.008957
Year 1 Dec 06 22:00,3.5,0,0,20.7,32,4,360,1.3,20.35842317,26.263863,73.008957
Year 1 Dec 06 23:00,5.8,0,0,19.7,40,2,360,1.8,19.1743867,26.263863,73.008957
Year 1 Dec 07 00:00,5.8,0,0,19,42,0,360,2.3,18.34886264,26.263863,73.008957
Year 1 Dec 07 01:00,5.4,0,0,18.5,42,0,360,2.6,17.69855855,26.263863,73.008957
Year 1 Dec 07 02:00,4.9,0,0,18,42,0,360,2.6,16.7931701,26.263863,73.008957
Year 1 Dec 07 03:00,4.6,0,0,17.2,43,0,360,2.6,15.80214455,26.263863,73.008957
Year 1 Dec 07 04:00,4.4,0,0,17,43,0,360,2.5,14.73767053,26.263863,73.008957
Year 1 Dec 07 05:00,4,0,0,16.2,44,0,360,2.4,14.09936644,26.263863,73.008957
Year 1 Dec 07 06:00,4.2,0,0,15.7,47,0,360,2.2,13.1900767,26.263863,73.008957
Year 1 Dec 07 07:00,4.6,0,0,15.5,48,0,360,2.2,13.02499213,26.263863,73.008957
Year 1 Dec 07 08:00,5,9,444,15,51,0,360,2.4,12.97084984,26.263863,73.008957
Year 1 Dec 07 09:00,5.3,71,546,14.7,53,0,50,2.5,14.50146631,26.263863,73.008957
Year 1 Dec 07 10:00,6,88,792,16.7,49,0,50,2.5,16.98312141,26.263863,73.008957
Year 1 Dec 07 11:00,6.4,90,923,19.3,43,0,50,2.3,19.02295173,26.263863,73.008957
Year 1 Dec 07 12:00,6.2,88,988,21.5,37,0,50,2.1,21.7255447,26.263863,73.008957
Year 1 Dec 07 13:00,6.3,87,1008,24,32,0,50,2,24.70750087,26.263863,73.008957
Year 1 Dec 07 14:00,6.4,88,987,25.2,30,0,50,1.8,31.97248334,26.263863,73.008957
Year 1 Dec 07 15:00,5.8,90,920,26.2,27,0,50,1.6,35.17685093,26.263863,73.008957
Year 1 Dec 07 16:00,3.7,88,787,26.5,23,0,50,1.3,35.36318305,26.263863,73.008957
Year 1 Dec 07 17:00,3.6,71,538,26.3,23,0,50,0.8,29.789367,26.263863,73.008957
Year 1 Dec 07 18:00,3.3,7,470,24.5,25,0,50,0.3,26.31395433,26.263863,73.008957
Year 1 Dec 07 19:00,2.2,0,0,22,27,0,50,0.3,23.50133861,26.263863,73.008957
Year 1 Dec 07 20:00,3.1,0,0,23,27,0,50,0.8,21.51798183,26.263863,73.008957
Year 1 Dec 07 21:00,4.8,0,0,22.2,32,0,50,1.3,20.35284224,26.263863,73.008957
Year 1 Dec 07 22:00,5.6,0,0,21.2,36,0,50,1.8,19.41234145,26.263863,73.008957
Year 1 Dec 07 23:00,5.7,0,0,20.5,38,0,50,2.3,18.61534884,26.263863,73.008957
