Date/Time,[1] Site Diffuse Solar Radiation Rate per Area  (W/m2),[1] Site Direct Solar Radiation Rate per Area  (W/m2),[1] Site Outdoor Air Dewpoint Temperature  (C),[1] Site Outdoor Air Drybulb Temperature  (C),[1] Site Solar Altitude Angle  (deg),[1] Site Solar Azimuth Angle  (deg),[1] Site Wind Speed  (m/s),[1] Surface Outside Face Temperature  (C),Orientation,Lats,Longs,[1] Dry Bulb Temperature (C),[1] Global Horizontal Radiation (Wh/m2),[1] Relative Humidity (),DNR,SC,hdi
Year 1 Apr 25 11:00,42.75,1033.5,4.975,37.25,64.3078671,108.5035572,6.95,36.7194615,270,22.7196,75.8577,37.8,1110,13,1100,0,0
Year 1 Apr 25 12:00,150.5,887,3.525,38.475,76.13501856,136.1394621,6.325,38.84159052,270,22.7196,75.8577,38.7,942,11,834,0,171
Year 1 Apr 25 13:00,98,1025.25,2.525,39,78.64940533,204.6074845,5.525,41.20705958,270,22.7196,75.8577,39.1,1114,10,1046,1,89
Year 1 Apr 25 14:00,140.5,919.5,2.375,38.875,68.55049108,245.5629769,5.075,47.38796681,270,22.7196,75.8577,38.8,1063,10,963,1,125
Year 1 Apr 25 15:00,193.75,747,2.4,38.575,55.34229321,259.5401243,4.4,52.9358814,270,22.7196,75.8577,38.5,904,11,789,1,187
Year 1 Apr 25 16:00,202.5,609,1.875,37.975,41.60911115,267.2467084,4.125,55.99832546,270,22.7196,75.8577,37.8,703,11,621,0,214
Year 1 Apr 25 17:00,152,568.25,1.325,37.2,27.78354992,273.0734175,3.95,57.46136917,270,22.7196,75.8577,37,521,11,573,0,168
Year 1 Apr 25 18:00,92.75,468,0.975,35.875,14.02543594,278.3854081,4.425,55.09532768,270,22.7196,75.8577,35.5,331,11,554,0,104
Year 1 Apr 25 19:00,29.5,105,0.825,34.3,0.457086382,283.8848094,4.825,44.99626806,270,22.7196,75.8577,33.9,97,12,210,0,59
Year 1 Apr 25 20:00,0,0,1.25,32.475,-12.76748173,290.1681256,5.425,37.53365838,270,22.7196,75.8577,32,0,14,0,0,0
Year 1 Apr 25 21:00,0,0,1.7,30.95,-25.39919612,297.9837776,5.375,34.978224,270,22.7196,75.8577,30.6,0,16,0,0,0
