Date/Time,[1] Site Diffuse Solar Radiation Rate per Area  (W/m2),[1] Site Direct Solar Radiation Rate per Area  (W/m2),[1] Site Outdoor Air Dewpoint Temperature  (C),[1] Site Outdoor Air Drybulb Temperature  (C),[1] Site Solar Altitude Angle  (deg),[1] Site Solar Azimuth Angle  (deg),[1] Site Wind Direction  (deg),[1] Site Wind Speed  (m/s),[1] Surface Outside Face Temperature  (C),Orientation,Lats,Longs,[1] Dry Bulb Temperature (C),[1] Global Horizontal Radiation (Wh/m2),[1] Relative Humidity (),DNR,SC,hdi
Year 1 Jun 24 11:00,22.5,1100,17.125,31.375,66.15180904,83.11511502,271.5,10.75,33.42727448,0,22.7196,75.8577,31.8,1030,41,1100,2,17
Year 1 Jun 24 12:00,102,984.5,16.725,32.775,79.90291145,83.27207517,269.25,11,34.32724557,0,22.7196,75.8577,33.1,1130,38,1100,2,39
Year 1 Jun 24 13:00,275.5,667.5,16.325,33.775,86.0108332,307.9913063,266.75,11,35.49983904,0,22.7196,75.8577,34,924,35,638,1,291
Year 1 Jun 24 14:00,220.75,763.5,16.425,34.45,72.4714606,276.1710641,269,11,36.58581027,0,22.7196,75.8577,34.6,980,34,756,2,229
Year 1 Jun 24 15:00,172.75,825.25,16.125,34.75,58.74058045,278.1339319,270.75,11,37.38021134,0,22.7196,75.8577,34.8,930,33,786,2,196
Year 1 Jun 24 16:00,106.5,906.25,16.3,34.575,45.09766826,281.006073,273.25,11,38.14365097,0,22.7196,75.8577,34.5,879,34,943,2,103
Year 1 Jun 24 17:00,116.25,747.5,16.25,33.975,31.60179568,284.4143895,271,11,38.56088073,0,22.7196,75.8577,33.8,647,35,796,2,117
Year 1 Jun 24 18:00,107.75,494.25,16.8,32.9,18.3306432,288.4167104,267,10.25,37.77809293,0,22.7196,75.8577,32.6,399,39,602,2,114
Year 1 Jun 24 19:00,66.75,128.25,17.45,31.475,5.397588972,293.2137926,257.75,10,35.03615661,0,22.7196,75.8577,31.1,134,45,171,2,89
Year 1 Jun 24 20:00,0,0,18.125,29.975,-7.021637067,299.1402035,249.75,9.55,31.63383919,0,22.7196,75.8577,29.6,0,51,0,2,0
Year 1 Jun 24 21:00,0,0,18.3,28.625,-18.64224315,306.7069074,242,8.65,30.25143924,0,22.7196,75.8577,28.3,0,55,0,2,0
Year 1 Jun 24 22:00,0,0,18.6,27.7,-28.99173302,316.6385809,241.5,7.8,29.24015334,0,22.7196,75.8577,27.5,0,59,0,3,0
Year 1 Jun 24 23:00,0,0,18.55,27.275,-37.30522961,329.7591947,246.5,7.3,28.57693043,0,22.7196,75.8577,27.2,0,59,0,3,0
