Date/Time,[1] Site Diffuse Solar Radiation Rate per Area  (W/m2),[1] Site Direct Solar Radiation Rate per Area  (W/m2),[1] Site Outdoor Air Dewpoint Temperature  (C),[1] Site Outdoor Air Drybulb Temperature  (C),[1] Site Solar Altitude Angle  (deg),[1] Site Solar Azimuth Angle  (deg),[1] Site Wind Direction  (deg),[1] Site Wind Speed  (m/s),[1] Surface Outside Face Temperature  (C),Orientation,Lats,Longs,[1] Dry Bulb Temperature (C),[1] Global Horizontal Radiation (Wh/m2),[1] Relative Humidity (),DNR,SC,hdi
Year 1 Mar 04 10:00,124,470.5,16.55,21.65,33.66190964,115.4175775,332,1.525,36.23934577,90,23.242,69.6669,22.3,275,71,0,3,138
Year 1 Mar 04 11:00,82.75,894.75,17.4,24.325,45.51328999,127.2407259,286.5,1.675,42.96218742,90,23.242,69.6669,25,605,63,0,1,82
Year 1 Mar 04 12:00,85.5,966.5,15.275,25.975,55.14431583,145.2427878,268.5,2.975,40.3609553,90,23.242,69.6669,26.3,799,48,0,0,85
Year 1 Mar 04 13:00,91.5,987,12.175,26.9,60.31110615,171.5637053,250,4.6,34.61078499,90,23.242,69.6669,27.1,923,38,0,0,87
Year 1 Mar 04 14:00,114.5,934.75,7.725,26.875,58.786555,200.8607727,280.75,6.65,31.75111188,90,23.242,69.6669,26.8,946,27,0,1,105
Year 1 Mar 04 15:00,192.5,708.75,6.35,26.575,51.33047657,223.585387,288.5,7.725,30.95931084,90,23.242,69.6669,26.5,861,28,0,2,143
Year 1 Mar 04 16:00,319.5,278.75,6.675,25.9,40.52529675,238.4906066,313.25,8.2,30.73993016,90,23.242,69.6669,25.7,557,30,0,2,341
Year 1 Mar 04 17:00,225.5,211,9.5,25.175,28.11482849,248.5488793,300.25,7.475,29.20588946,90,23.242,69.6669,25,414,40,0,2,255
Year 1 Mar 04 18:00,119,78.25,11.15,24.025,14.916286,256.0150403,305,6.825,27.37633662,90,23.242,69.6669,23.7,163,46,0,2,137
Year 1 Mar 04 19:00,32.5,60.5,12.675,22.875,1.313573002,262.1753649,276.75,5.725,25.38310155,90,23.242,69.6669,22.6,90,55,0,1,65
Year 1 Mar 04 20:00,0,0,12.875,21.55,-12.48551031,267.8385479,269,5.1,23.70334677,90,23.242,69.6669,21.2,0,59,0,2,0
Year 1 Mar 04 21:00,0,0,13.7,20.675,-26.33513477,273.6897106,238.5,4.25,22.88779897,90,23.242,69.6669,20.5,0,66,0,3,0
Year 1 Mar 04 22:00,0,0,14,19.975,-40.07792753,280.6282832,252.75,4,22.31400679,90,23.242,69.6669,19.8,0,70,0,6,0
Year 1 Mar 04 23:00,0,0,15.125,19.65,-53.42740989,290.4546387,267.75,3.7,21.81612572,90,23.242,69.6669,19.6,0,77,0,6,0
Year 1 Mar 05 00:00,0,0,15.425,19.15,-65.55657588,308.0783509,322.5,3.975,21.13697346,90,23.242,69.6669,19,0,80,0,5,0
Year 1 Mar 05 01:00,0,0,16,18.775,-72.98760343,14.01356468,326.5,3.725,20.68564333,90,23.242,69.6669,18.7,0,86,0,2,0
Year 1 Mar 05 02:00,0,0,15.75,18.025,-70.52506873,33.6156526,300.25,3.375,20.00301318,90,23.242,69.6669,17.8,0,87,0,0,0
Year 1 Mar 05 03:00,0,0,15.975,17.35,-60.25270841,60.59250475,190.25,2.1,19.7730143,90,23.242,69.6669,17.2,0,93,0,0,0
Year 1 Mar 05 04:00,0,0,15.05,16.45,-47.45998802,73.90813212,93,1.175,19.28802178,90,23.242,69.6669,16.2,0,91,0,0,0
Year 1 Mar 05 05:00,0,0,15.825,17.4,-33.90718834,82.21102797,18,1.3,19.43413418,90,23.242,69.6669,17.8,0,91,0,1,0
Year 1 Mar 05 06:00,0,0,16.35,18.25,-20.10131072,88.57410344,36.75,1.475,19.56993639,90,23.242,69.6669,18.4,0,88,0,1,0
Year 1 Mar 05 07:00,0,0,17.075,19.375,-6.25448167,94.27610305,103,2.25,19.67664904,90,23.242,69.6669,19.7,0,86,0,1,0
Year 1 Mar 05 08:00,15.25,82,17.75,20.825,7.488975549,100.0771403,199,3.325,22.85765822,90,23.242,69.6669,21.2,0,82,0,2,0
Year 1 Mar 05 09:00,67.25,410.75,18.65,22.475,20.96654808,106.6825006,258.75,4.8,33.06268915,90,23.242,69.6669,22.9,124,78,0,3,61
Year 1 Mar 05 10:00,91.25,689.25,18.975,24.025,33.91534237,115.0629523,291,6.175,39.52967194,90,23.242,69.6669,24.4,357,72,0,3,86
Year 1 Mar 05 11:00,111.75,793.5,18.925,25.3,45.8109248,126.8844965,277,7.475,40.15541716,90,23.242,69.6669,25.6,577,67,0,3,107
Year 1 Mar 05 12:00,132.25,833,18.15,26.125,55.49749858,144.9665879,267,8.25,37.57216203,90,23.242,69.6669,26.3,752,60,0,3,126
Year 1 Mar 05 13:00,177.75,773,17.675,26.75,60.69670686,171.5672957,252.5,9,33.28826887,90,23.242,69.6669,26.9,851,57,0,2,151
Year 1 Mar 05 14:00,259.75,590.5,17.3,26.975,59.12919227,201.203971,264.5,9.35,31.61448039,90,23.242,69.6669,27,787,55,0,2,258
Year 1 Mar 05 15:00,261.25,540.5,17.875,26.925,51.58961021,224.048002,268.5,9.7,31.27919267,90,23.242,69.6669,26.9,737,59,0,1,265
Year 1 Mar 05 16:00,252.25,424.5,18.475,26.375,40.71592545,238.9370647,281.5,9.575,30.57389766,90,23.242,69.6669,26.2,624,63,0,1,250
Year 1 Mar 05 17:00,234,200.75,18.975,25.45,28.26004094,248.9584298,274,9.05,29.34388375,90,23.242,69.6669,25.2,392,69,0,1,259
