Date/Time,[1] Site Diffuse Solar Radiation Rate per Area  (W/m2),[1] Site Direct Solar Radiation Rate per Area  (W/m2),[1] Site Outdoor Air Dewpoint Temperature  (C),[1] Site Outdoor Air Drybulb Temperature  (C),[1] Site Solar Altitude Angle  (deg),[1] Site Solar Azimuth Angle  (deg),[1] Site Wind Direction  (deg),[1] Site Wind Speed  (m/s),[1] Surface Outside Face Temperature  (C),Orientation,Lats,Longs,[1] Dry Bulb Temperature (C),[1] Global Horizontal Radiation (Wh/m2),[1] Relative Humidity (),DNR,SC,hdi
Year 1 Apr 26 11:00,90.5,968,7.475,35.925,64.48956859,107.8609406,309.5,3.425,40.92809781,180,22.7196,75.8577,36.4,860,16,924,0,108
Year 1 Apr 26 12:00,47.25,1094.75,4.7,37.525,76.40459877,135.397669,298.5,4.05,43.79337764,180,22.7196,75.8577,37.9,1116,12,1100,0,38
Year 1 Apr 26 13:00,83.75,1058,1.675,38.95,78.92031647,205.403409,283.25,4.9,45.48694888,180,22.7196,75.8577,39.3,1133,9,1079,1,75
Year 1 Apr 26 14:00,93.75,1021.25,0.525,39.975,68.6774601,246.4086266,256,5.85,45.48028676,180,22.7196,75.8577,40.2,1081,8,995,1,110
Year 1 Apr 26 15:00,57.25,1062.5,1.075,40.5,55.42077177,260.1078341,251.75,5.8,44.99226173,180,22.7196,75.8577,40.6,1081,7,1100,1,45
Year 1 Apr 26 16:00,135.5,755,0.85,40.075,41.6743272,267.6805555,250.75,5.25,43.41080312,180,22.7196,75.8577,39.9,842,8,950,1,94
Year 1 Apr 26 17:00,229.5,214.25,0.775,38.625,27.84926019,273.4392194,265,4.2,41.74018139,180,22.7196,75.8577,38.2,365,8,170,1,260
Year 1 Apr 26 18:00,115.75,270.75,0.275,36.175,14.09964838,278.7167411,262.5,3.825,39.03893332,180,22.7196,75.8577,35.5,281,11,347,1,138
Year 1 Apr 26 19:00,24.5,21,0.325,33.475,0.546467266,284.2022011,263,3.95,35.81617014,180,22.7196,75.8577,32.8,56,13,42,0,49
Year 1 Apr 26 20:00,0,0,1.15,31,-12.65564634,290.4860128,252,4.75,33.21830749,180,22.7196,75.8577,30.4,0,15,0,0,0
