Date/Time,Lats,Longs,Orientation,[1] Dew Point Temperature (C),[1] Diffuse Horizontal Radiation (Wh/m2),[1] Direct Normal Radiation (Wh/m2),[1] Dry Bulb Temperature (C),[1] Relative Humidity (),[1] Total Sky Cover (tenths),[1] Wind Direction (°),[1] Wind Speed (m/s),BLOCK1:ZONE1_WALL_3_0_0:Surface Outside Face Temperature [C](Hourly)
Year 1 Feb 08 01:00,23.39,87.51,90,15.1,0,0,16.7,90,4,230,0.6,19.198292083947388
Year 1 Feb 08 02:00,23.39,87.51,90,15.2,0,0,16.5,92,2.7,229,0.7,18.721332850347275
Year 1 Feb 08 03:00,23.39,87.51,90,14.9,0,0,16.2,92,1.3,226,0.7,18.24008710347779
Year 1 Feb 08 04:00,23.39,87.51,90,14.8,0,0,15.9,93,0,219,0.7,17.760042218645105
Year 1 Feb 08 05:00,23.39,87.51,90,14.8,0,0,15.9,93,0,213,0.8,17.410317379222655
Year 1 Feb 08 06:00,23.39,87.51,90,14.7,0,0,15.8,93,0,214,0.9,17.111471464250664
Year 1 Feb 08 07:00,23.39,87.51,90,15.4,20,22,16.7,92,0,223,1,20.95135288277507
Year 1 Feb 08 08:00,23.39,87.51,90,17,117,226,18.9,89,0,228,1,29.691508866116288
Year 1 Feb 08 09:00,23.39,87.51,90,19.5,192,389,22.7,82,0,228,1.1,36.06652704897115
Year 1 Feb 08 10:00,23.39,87.51,90,19.1,230,516,25.4,68,0,225,1.7,38.708754425494209
Year 1 Feb 08 11:00,23.39,87.51,90,19.2,247,595,26.6,64,0,225,1.6,37.55194162730452
Year 1 Feb 08 12:00,23.39,87.51,90,18.6,254,629,27.9,57,0,224,1.5,34.09198467201102
Year 1 Feb 08 13:00,23.39,87.51,90,14.2,250,637,28.7,41,0,234,1.1,32.994611854568919
Year 1 Feb 08 14:00,23.39,87.51,90,9.1,238,606,28.9,29,0,250,0.6,32.74647718972035
Year 1 Feb 08 15:00,23.39,87.51,90,11,216,536,28.4,34,0,224,0.4,32.08073231430933
Year 1 Feb 08 16:00,23.39,87.51,90,18.7,171,426,26.9,61,0,209,0.6,30.524378802501034
Year 1 Feb 08 17:00,23.39,87.51,90,18.1,100,220,24.6,67,0,209,0.6,28.141023971353193
Year 1 Feb 08 18:00,23.39,87.51,90,17.4,11,19,22.7,72,0,210,0.7,25.59735072607173
Year 1 Feb 08 19:00,23.39,87.51,90,18.4,0,0,21.8,81,0,213,0.8,24.410004089219563
Year 1 Feb 08 20:00,23.39,87.51,90,19.3,0,0,21.2,89,0,212,0.9,23.55918038927423
Year 1 Feb 08 21:00,23.39,87.51,90,19.6,0,0,20.9,92,0,211,0.9,22.939157760486645
Year 1 Feb 08 22:00,23.39,87.51,90,19.3,0,0,20.6,92,0,212,0.9,22.444777699409806
Year 1 Feb 08 23:00,23.39,87.51,90,19.1,0,0,20.3,93,0,214,0.9,21.968076276549519
Year 1 Feb 09 00:00,23.39,87.51,90,18.8,0,0,19.8,94,0,218,0.8,21.474682116879064
Year 1 Feb 09 01:00,23.39,87.51,90,18.7,0,0,19.4,96,0,224,0.7,21.002663644466489
Year 1 Feb 09 02:00,23.39,87.51,90,18.5,0,0,19,97,0,233,0.6,20.602379890680859
Year 1 Feb 09 03:00,23.39,87.51,90,18.2,0,0,18.5,98,0,239,0.5,20.220832768525935
Year 1 Feb 09 04:00,23.39,87.51,90,17.9,0,0,18.2,98,0,238,0.4,19.893579856478028
Year 1 Feb 09 05:00,23.39,87.51,90,17.5,0,0,17.8,98,0.9,234,0.5,19.599381163873234
Year 1 Feb 09 06:00,23.39,87.51,90,17.4,0,0,17.7,98,1.7,235,0.4,19.40829319855043
Year 1 Feb 09 07:00,23.39,87.51,90,18.4,16,10,18.7,98,2.6,251,0.5,21.612099042482357
Year 1 Feb 09 08:00,23.39,87.51,90,19.2,112,87,19.9,96,4.6,253,0.5,26.72320567520682
Year 1 Feb 09 09:00,23.39,87.51,90,20.5,208,116,21.9,92,6.5,243,0.6,29.970581375643677
Year 1 Feb 09 10:00,23.39,87.51,90,20.1,280,89,23.1,83,8.5,234,0.8,31.08195323397177
Year 1 Feb 09 11:00,23.39,87.51,90,20.4,341,115,23.7,82,8.1,213,0.9,32.22085956616836
Year 1 Feb 09 12:00,23.39,87.51,90,20.9,369,230,24.6,80,7.7,205,1.1,31.640661128657315
Year 1 Feb 09 13:00,23.39,87.51,90,20.9,312,413,24.4,81,7.3,208,1.1,30.96553387493735
Year 1 Feb 09 14:00,23.39,87.51,90,20.7,313,284,24.2,81,8.2,203,1.2,30.546591136578586
Year 1 Feb 09 15:00,23.39,87.51,90,19.9,234,50,22.7,84,9,205,1.2,28.831889607460878
Year 1 Feb 09 16:00,23.39,87.51,90,19.4,79,6,21.7,87,9.9,207,1.2,26.398119496689156
Year 1 Feb 09 17:00,23.39,87.51,90,18.9,12,1,21.1,87,6.9,209,1.1,24.609431516060199
Year 1 Feb 09 18:00,23.39,87.51,90,18.1,1,0,20.1,88,3.8,212,1,23.349814431643205
Year 1 Feb 09 19:00,23.39,87.51,90,17.5,0,0,19.2,90,0.8,216,0.9,22.312963331115556
Year 1 Feb 09 20:00,23.39,87.51,90,17.2,0,0,18.7,91,0.5,217,0.8,21.532517787254095
Year 1 Feb 09 21:00,23.39,87.51,90,16.7,0,0,18.2,91,0.3,225,0.7,20.899595925640328
Year 1 Feb 09 22:00,23.39,87.51,90,16.3,0,0,17.8,91,0,233,0.7,20.330919256530739
Year 1 Feb 09 23:00,23.39,87.51,90,16.1,0,0,17.4,92,0,239,0.6,19.845593090226985
Year 1 Feb 10 00:00,23.39,87.51,90,15.6,0,0,16.9,92,0,240,0.5,19.395655665158423
Year 1 Feb 10 01:00,23.39,87.51,90,15.5,0,0,16.6,93,0,241,0.5,18.98799980071032
Year 1 Feb 10 02:00,23.39,87.51,90,15.1,0,0,16.1,94,3.3,239,0.4,18.649125350906876
Year 1 Feb 10 03:00,23.39,87.51,90,14.9,0,0,15.9,94,6.7,231,0.4,18.40690427511605
Year 1 Feb 10 04:00,23.39,87.51,90,15.1,0,0,15.9,95,10,219,0.3,18.266698462455929
Year 1 Feb 10 05:00,23.39,87.51,90,15.1,0,0,15.7,96,6.7,209,0.3,18.045702012510064
Year 1 Feb 10 06:00,23.39,87.51,90,15,0,0,15.5,97,3.5,186,0.2,17.791395523748375
Year 1 Feb 10 07:00,23.39,87.51,90,16,21,19,17,94,0.2,176,0.3,21.684899217202437
Year 1 Feb 10 08:00,23.39,87.51,90,16.8,122,193,18.5,90,2,177,0.4,29.53687201271981
Year 1 Feb 10 09:00,23.39,87.51,90,18.5,214,270,20.9,86,3.9,179,0.5,34.186461009886368
Year 1 Feb 10 10:00,23.39,87.51,90,18.1,294,242,22.5,76,5.7,182,0.8,34.90715058607874
Year 1 Feb 10 11:00,23.39,87.51,90,18.7,348,199,23.2,76,6.3,185,0.9,34.04453124859228
Year 1 Feb 10 12:00,23.39,87.51,90,19.4,369,153,23.5,78,6.8,196,0.9,32.11541858578855
Year 1 Feb 10 13:00,23.39,87.51,90,20.2,352,110,23.2,83,7.4,201,1,31.206631975685178
Year 1 Feb 10 14:00,23.39,87.51,90,20.3,295,65,22.8,86,7.7,197,1,30.204486223178564
Year 1 Feb 10 15:00,23.39,87.51,90,20.2,204,30,22.1,89,8,179,1,28.776687628195345
