Date/Time,[1] Site Diffuse Solar Radiation Rate per Area  (W/m2),[1] Site Direct Solar Radiation Rate per Area  (W/m2),[1] Site Outdoor Air Dewpoint Temperature  (C),[1] Site Outdoor Air Drybulb Temperature  (C),[1] Site Solar Altitude Angle  (deg),[1] Site Solar Azimuth Angle  (deg),[1] Site Wind Direction  (deg),[1] Site Wind Speed  (m/s),[1] Surface Outside Face Temperature  (C),Orientation,Lats,Longs
Year 1 Nov 26 03:00,0,0,10.175,16.275,-57.8975598,92.67377497,0,0.075,24.24545047,0,23.0225,72.5714
Year 1 Nov 26 04:00,0,0,9.925,16.175,-44.15492822,97.14276716,0,0,24.18394426,0,23.0225,72.5714
Year 1 Nov 26 05:00,0,0,9.825,15.8,-30.53926262,101.3629881,0,0,24.10516326,0,23.0225,72.5714
Year 1 Nov 26 06:00,0,0,9.65,15.475,-17.12982441,105.8420786,0,0,24.01048105,0,23.0225,72.5714
Year 1 Nov 26 07:00,0,0,9.525,16.3,-4.03691701,110.9460736,0,0.675,23.90189703,0,23.0225,72.5714
Year 1 Nov 26 08:00,55.25,83,9.35,17.5,8.568370693,117.0951253,0,1.5,23.78533454,0,23.0225,72.5714
Year 1 Nov 26 09:00,132,378,9.15,18.7,20.40434133,124.8717016,37.5,2.375,23.66560648,0,23.0225,72.5714
Year 1 Nov 26 10:00,146.25,628.25,8.425,21.175,30.99158749,135.0994645,50,3.2,23.54584533,0,23.0225,72.5714
Year 1 Nov 26 11:00,124.25,794.25,7.45,24.15,39.52728406,148.7569972,50,4.075,23.43748239,0,23.0225,72.5714
Year 1 Nov 26 12:00,120,852,6.375,27.075,44.83440663,166.2836523,80,4.9,23.35188967,0,23.0225,72.5714
Year 1 Nov 26 13:00,121.75,857.75,6.025,28.625,45.75233392,186.1479416,90,4.05,23.29481812,0,23.0225,72.5714
Year 1 Nov 26 14:00,115.5,835.5,5.85,29.8,42.03317101,204.9038011,90,2.725,23.26604324,0,23.0225,72.5714
Year 1 Nov 26 15:00,113.5,750.75,5.65,30.925,34.59027806,220.0789822,75,1.35,23.26886849,0,23.0225,72.5714
Year 1 Nov 26 16:00,121.75,546.5,5.6,30.525,24.67882211,231.5200835,70,1,23.30561945,0,23.0225,72.5714
Year 1 Nov 26 17:00,79,269.25,5.525,29.55,13.25380778,240.1321943,70,1,23.37204716,0,23.0225,72.5714
Year 1 Nov 26 18:00,12.5,0,5.425,28.625,0.903983297,246.8290476,70,1,23.46046784,0,23.0225,72.5714
Year 1 Nov 26 19:00,0,0,6.9,25.775,-12.0254316,252.2803455,70,1.15,23.56465483,0,23.0225,72.5714
Year 1 Nov 26 20:00,0,0,8.75,22.2,-25.32817186,256.9572548,70,1.275,23.67092087,0,23.0225,72.5714
Year 1 Nov 26 21:00,0,0,10.4,18.675,-38.87470696,261.2317961,70,1.45,23.76624485,0,23.0225,72.5714
Year 1 Nov 26 22:00,0,0,10.575,17.5,-52.5767244,265.5181771,70,1.425,23.8429785,0,23.0225,72.5714
Year 1 Nov 26 23:00,0,0,10.275,17.1,-66.36028092,270.7187917,70,1.325,23.89751213,0,23.0225,72.5714
Year 1 Nov 27 00:00,0,0,9.975,16.7,-80.05817252,283.0310698,70,1.225,23.92877745,0,23.0225,72.5714
Year 1 Nov 27 01:00,0,0,9.6,16.3,-84.92716846,47.80506114,70,1.2,23.93415727,0,23.0225,72.5714
Year 1 Nov 27 02:00,0,0,9.275,15.9,-71.79266464,86.96078595,70,1.125,23.91460922,0,23.0225,72.5714
Year 1 Nov 27 03:00,0,0,8.9,15.5,-58.00332314,93.00754164,32.5,1.025,23.87185071,0,23.0225,72.5714
Year 1 Nov 27 04:00,0,0,8.65,15.025,-44.2664667,97.3833284,20,1,23.80795786,0,23.0225,72.5714
Year 1 Nov 27 05:00,0,0,8.375,14.6,-30.65908014,101.5562286,20,1,23.72484561,0,23.0225,72.5714
Year 1 Nov 27 06:00,0,0,8.075,14.125,-17.25970803,106.0078488,20,1,23.62508123,0,23.0225,72.5714
