1,"eplusout.eso"

"Date/Time","[1] Site Diffuse Solar Radiation Rate per Area  (W/m2)","[1] Site Direct Solar Radiation Rate per Area  (W/m2)","[1] Site Outdoor Air Drybulb Temperature  (C)","[1] Surface Inside Face Temperature  (C)","[1] Surface Outside Face Temperature  (C)","[1] Surface Inside Face Conduction Heat Transfer Rate  (W)"
,"Environment","Environment","Environment","BLOCK1:ZONE1_WALL_3_0_0","BLOCK1:ZONE1_WALL_3_0_0","BLOCK1:ZONE1_WALL_3_0_0"
"Year 1 Jan 09 15:00","250.25","394.75","25","18.999210560756","26.2404729374095","-0.567379973774365"
"Year 1 Jan 09 16:00","145.5","538","25.125","19.4407002531585","25.7219900757588","30.6575998990697"
"Year 1 Jan 09 17:00","86","379.5","25.1","19.8745645853012","24.7394264486371","58.3387981474843"
"Year 1 Jan 09 18:00","35.25","69.75","25.025","20.2339783356132","23.4548311568646","80.8909030440461"
"Year 1 Jan 09 19:00","0","0","24.025","20.4899331821591","22.2505277795436","94.2903750594041"
"Year 1 Jan 09 20:00","0","0","22.65","20.6316750360275","21.3902575530855","99.3635821843809"
"Year 1 Jan 09 21:00","0","0","21.325","20.6770483064314","20.5719279530784","96.9734379958477"
"Year 1 Jan 09 22:00","0","0","20.025","20.6489825990156","19.7740471545417","89.3831631119509"
"Year 1 Jan 09 23:00","0","0","18.65","20.5638382449165","18.940641010753","78.4875958207592"
"Year 1 Jan 10 00:00","0","0","17.325","20.4305652705308","18.1056187415461","65.6648686363632"
"Year 1 Jan 10 01:00","0","0","16.7","20.2571355947295","17.4944952299607","50.95221336318"
"Year 1 Jan 10 02:00","0","0","16.3","20.0581099464688","17.0222600238233","33.9362495884004"
"Year 1 Jan 10 03:00","0","0","15.9","19.8435167544856","16.5895236600794","16.8728631359224"
"Year 1 Jan 10 04:00","0","0","15.2","19.6216509471551","16.0748385173692","0.767577923346557"
"Year 1 Jan 10 05:00","0","0","14.4","19.3938110432272","15.5162012516869","-13.842460060135"
"Year 1 Jan 10 06:00","0","0","13.6","19.1587182185038","14.9381507692606","-27.5918684970016"
"Year 1 Jan 10 07:00","0","0","13.4","18.9144046903751","14.5403009393875","-40.7928267089834"
"Year 1 Jan 10 08:00","33.5","54.5","13.4","18.664390290171","14.7375464136859","-53.8006177804608"
"Year 1 Jan 10 09:00","110.25","290.75","13.475","18.4283903478016","16.0108929352301","-66.3256089944987"
"Year 1 Jan 10 10:00","140.5","569","16.125","18.2457324803259","18.1746726032761","-75.1183104223187"
"Year 1 Jan 10 11:00","119.75","771","19.55","18.1791395847613","20.3571272465051","-79.6435496451528"
"Year 1 Jan 10 12:00","116.25","843.5","23.025","18.2539769631204","22.695946074325","-74.6161721324638"
"Year 1 Jan 10 13:00","117","860.5","24.725","18.474619201169","24.314918165209","-59.851754935392"
"Year 1 Jan 10 14:00","115.5","842","25.75","18.8015582958168","25.3733074612523","-33.2293643308679"
"Year 1 Jan 10 15:00","109.25","783.75","26.75","19.2012834915137","26.0938421738231","-2.94490283815168"
