Date/Time,[1] Surface Outside Face Temperature  (C),[1] Site Diffuse Solar Radiation Rate per Area  (W/m2),[1] Site Direct Solar Radiation Rate per Area  (W/m2),[1] Site Outdoor Air Drybulb Temperature  (C),[1] Surface Inside Face Conduction Heat Transfer Rate  (W),[1] Surface Inside Face Temperature  (C)
,BLOCK1:ZONE1_WALL_3_0_0,Environment,Environment,Environment,BLOCK1:ZONE1_WALL_3_0_0,BLOCK1:ZONE1_WALL_3_0_0
Year 1 Nov 24 17:00,41.28398745,124.25,286.5,29.1,124.0857815,28.68553781
Year 1 Nov 24 18:00,38.4626461,55.5,105.75,28.025,185.0507891,29.43723496
Year 1 Nov 24 19:00,31.38463287,0,0,26.65,229.3528723,30.02938841
Year 1 Nov 24 20:00,29.78944724,0,0,24.875,243.6429247,30.33422961
Year 1 Nov 24 21:00,28.46213087,0,0,23.5,229.091579,30.33458517
Year 1 Nov 24 22:00,27.1127204,0,0,22.525,199.0005937,30.15258303
Year 1 Nov 24 23:00,26.24545087,0,0,22.375,162.7631238,29.87478432
Year 1 Nov 25 00:00,25.82881625,0,0,22.475,123.9485481,29.55326402
Year 1 Nov 25 01:00,25.26844011,0,0,23.025,87.74847367,29.21862259
Year 1 Nov 25 02:00,24.82379089,0,0,23.35,54.77366757,28.89575223
Year 1 Nov 25 03:00,24.53304667,0,0,23.55,26.20543398,28.58534584
Year 1 Nov 25 04:00,24.1938737,0,0,23.075,1.75907443,28.2909969
Year 1 Nov 25 05:00,23.71437438,0,0,22.225,-18.11685695,28.01050869
Year 1 Nov 25 06:00,23.23664544,0,0,21.55,-35.05317595,27.74075891
Year 1 Nov 25 07:00,22.64097885,0,0,21.325,-50.1152566,27.47541295
Year 1 Nov 25 08:00,22.86903424,13.75,33.25,21.375,-64.53061267,27.21152811
Year 1 Nov 25 09:00,23.89304017,75.25,142.25,22.3,-78.5553497,26.96127017
Year 1 Nov 25 10:00,25.60778738,116.75,358.75,23.65,-89.25890597,26.76308342
Year 1 Nov 25 11:00,27.0414127,63.75,925.5,25.35,-92.83186575,26.6531861
Year 1 Nov 25 12:00,28.26428724,83.5,918.5,26.625,-88.11347918,26.64953912
Year 1 Nov 25 13:00,30.11181543,156.75,719.75,27.575,-75.51252281,26.73743458
Year 1 Nov 25 14:00,34.02387292,287.75,308.25,27.95,-56.77920053,26.90824873
Year 1 Nov 25 15:00,39.46194901,184.25,548.25,28.15,-28.16242078,27.20466469
Year 1 Nov 25 16:00,40.04519731,206,306,27.9,14.2518858,27.71108817
Year 1 Nov 25 17:00,40.65346781,125.75,290.5,27.5,70.31444724,28.36981911
Year 1 Nov 25 18:00,37.5944692,55.5,102,26.65,128.3399637,29.05787277
Year 1 Nov 25 19:00,30.33702691,0,0,25.725,174.7711883,29.63879925
Year 1 Nov 25 20:00,28.19348661,0,0,24.675,192.7377848,29.95085535
Year 1 Nov 25 21:00,27.16896853,0,0,24.025,180.3905903,29.95081376
Year 1 Nov 25 22:00,26.49816199,0,0,23.375,151.3991425,29.75498408
Year 1 Nov 25 23:00,25.98451943,0,0,23.05,117.7156886,29.47332603
Year 1 Nov 26 00:00,25.5609541,0,0,22.625,84.8552668,29.16695119
Year 1 Nov 26 01:00,24.93768003,0,0,22.5,55.37874876,28.86057722
Year 1 Nov 26 02:00,24.4207491,0,0,22.275,28.6547144,28.56551752
Year 1 Nov 26 03:00,24.06015557,0,0,22.35,5.087325317,28.2754816
Year 1 Nov 26 04:00,23.55342582,0,0,22.175,-16.2084274,27.99468048
Year 1 Nov 26 05:00,21.09142474,0,0,16.925,-33.30779286,27.71348033
Year 1 Nov 26 06:00,19.53819266,0,0,15.725,-46.53678988,27.38009773
Year 1 Nov 26 07:00,19.87958165,0,0,17.25,-70.78031361,26.99412294
Year 1 Nov 26 08:00,20.90857315,9.75,138.25,19.575,-96.56925497,26.5805781
Year 1 Nov 26 09:00,23.04093173,37.5,653.25,22.225,-120.5514764,26.22852368
Year 1 Nov 26 10:00,25.11153901,33,979.5,24.625,-134.6370989,25.99124781
Year 1 Nov 26 11:00,26.94341721,38.25,1046,26.55,-135.5610438,25.89853465
Year 1 Nov 26 12:00,28.53739203,63.25,991.5,27.825,-124.2870222,25.94456483
Year 1 Nov 26 13:00,30.45610751,130.75,801.25,28.55,-103.451909,26.10316262
Year 1 Nov 26 14:00,34.71322997,220.75,525.5,28.925,-75.90640403,26.35481426
Year 1 Nov 26 15:00,40.2253227,144,678.5,29.15,-39.02334456,26.73731808
Year 1 Nov 26 16:00,42.19335908,159,488.25,29.05,11.83284712,27.32646263
Year 1 Nov 26 17:00,42.40714208,92.25,421.25,28.55,74.17177418,28.10042265
Year 1 Nov 26 18:00,34.33444848,40.5,21.75,27.575,144.0420122,28.91350889
Year 1 Nov 26 19:00,29.80279893,0,0,26.175,191.1722145,29.5194999
Year 1 Nov 26 20:00,28.07417669,0,0,24.6,202.1974143,29.76629655
Year 1 Nov 26 21:00,26.67909439,0,0,23.225,185.4638124,29.71534085
Year 1 Nov 26 22:00,25.26470663,0,0,22.075,155.5325801,29.48987322
Year 1 Nov 26 23:00,24.32759611,0,0,21.275,119.694412,29.17194175
Year 1 Nov 27 00:00,23.54146718,0,0,20.5,82.6671878,28.80301128
Year 1 Nov 27 01:00,22.53676029,0,0,19.55,47.32078208,28.41337034
Year 1 Nov 27 02:00,21.42374313,0,0,18.325,14.81003545,28.01322083
Year 1 Nov 27 03:00,20.35185584,0,0,16.95,-15.37098745,27.59816156
Year 1 Nov 27 04:00,19.30043759,0,0,15.775,-44.00927439,27.16422436
Year 1 Nov 27 05:00,18.85046679,0,0,15.575,-71.47174581,26.71228225
Year 1 Nov 27 06:00,18.67079465,0,0,15.975,-97.23698575,26.25309135
Year 1 Nov 27 07:00,19.0365005,0,0,17.375,-123.1090272,25.82586152
Year 1 Nov 27 08:00,19.97379633,8.75,150.25,19.45,-145.4392916,25.44904049
Year 1 Nov 27 09:00,22.29822075,35.5,681.25,22.1,-161.8588849,25.14904382
Year 1 Nov 27 10:00,24.52820927,30.75,966.5,24.6,-168.9655191,24.96570693
Year 1 Nov 27 11:00,26.40802297,27.25,1060.5,26.85,-163.2993764,24.92721472
Year 1 Nov 27 12:00,28.18467452,65.25,979.5,28.3,-146.4237524,25.02740878
Year 1 Nov 27 13:00,30.29024614,56.25,1043.5,29.2,-120.2161474,25.23998056
Year 1 Nov 27 14:00,36.02050938,100.75,883.5,29.55,-87.761308,25.54721505
Year 1 Nov 27 15:00,41.36856197,106,816.5,29.675,-43.46163175,26.00772606
Year 1 Nov 27 16:00,44.52840586,107.75,685.25,29.4,16.65839933,26.70658347
Year 1 Nov 27 17:00,43.17671622,102.25,443.25,28.775,89.93550817,27.61748494
Year 1 Nov 27 18:00,38.83191277,52.5,198,27.55,169.968641,28.54918741
Year 1 Nov 27 19:00,30.78797935,0,0,26.225,230.153998,29.30658018
Year 1 Nov 27 20:00,28.65146233,0,0,24.775,251.7882925,29.70004167
Year 1 Nov 27 21:00,26.98954019,0,0,23.725,237.1295131,29.72435874
Year 1 Nov 27 22:00,25.84973975,0,0,22.825,202.8799989,29.52420248
Year 1 Nov 27 23:00,24.70339495,0,0,22.15,162.4724332,29.20527625
Year 1 Nov 28 00:00,23.89305692,0,0,21.175,120.6880923,28.83451451
Year 1 Nov 28 01:00,23.0963682,0,0,20,82.21472566,28.43440459
Year 1 Nov 28 02:00,22.41401923,0,0,18.425,46.84377734,28.02767255
Year 1 Nov 28 03:00,21.68621573,0,0,17.025,15.40791709,27.62113857
Year 1 Nov 28 04:00,20.63507886,0,0,15.95,-13.07355845,27.21970959
Year 1 Nov 28 05:00,19.63062728,0,0,13.675,-38.86587068,26.81527824
Year 1 Nov 28 06:00,18.5070502,0,0,12.7,-62.18559968,26.39141815
Year 1 Nov 28 07:00,18.16573745,0,0,13.725,-86.40224238,25.95415092
Year 1 Nov 28 08:00,18.71964105,8.25,155,15.975,-111.5819221,25.51734044
Year 1 Nov 28 09:00,20.79934362,28.25,740,19.375,-136.3999065,25.12992418
Year 1 Nov 28 10:00,23.02498266,11.75,1100,22.775,-154.1145148,24.84717121
Year 1 Nov 28 11:00,25.20682883,9,1100,25.7,-159.0130589,24.70999261
Year 1 Nov 28 12:00,27.10824532,32.5,1074.75,27.3,-150.3813458,24.72536899
Year 1 Nov 28 13:00,29.55032007,84.25,944.75,28.05,-129.1975123,24.87154825
Year 1 Nov 28 14:00,34.283365,175.25,638.75,28.05,-98.83810716,25.13364933
Year 1 Nov 28 15:00,36.60721813,251,324,28.225,-56.58654192,25.5495502
Year 1 Nov 28 16:00,43.09036487,116.75,657,28.15,-4.956358484,26.13112059
Year 1 Nov 28 17:00,44.17359936,86.25,535.75,28.025,57.37402915,26.91225714
Year 1 Nov 28 18:00,38.89110784,51.75,210,27.1,135.2078898,27.82886419
Year 1 Nov 28 19:00,30.24849493,0,0,25.75,202.7882573,28.64581739
