Date/Time,[1] Surface Outside Face Temperature  (C),[1] Site Diffuse Solar Radiation Rate per Area  (W/m2),[1] Site Direct Solar Radiation Rate per Area  (W/m2),[1] Site Outdoor Air Drybulb Temperature  (C),[1] Surface Inside Face Conduction Heat Transfer Rate  (W),[1] Surface Inside Face Temperature  (C)
,BLOCK1:ZONE1_WALL_3_0_0,Environment,Environment,Environment,BLOCK1:ZONE1_WALL_3_0_0,BLOCK1:ZONE1_WALL_3_0_0
Year 1 May 22 16:00,46.10371547,216.75,639.75,35.6,60.13431067,33.6932302
Year 1 May 22 17:00,45.26549215,225.5,437.25,34.5,113.8303658,34.31104437
Year 1 May 22 18:00,43.20065057,163.25,313.25,33.225,165.4526065,34.92479925
Year 1 May 22 19:00,39.05311734,82.25,103,31.85,204.4366742,35.43171483
Year 1 May 22 20:00,33.56744455,0,0,30.675,221.2050327,35.73591027
Year 1 May 22 21:00,32.07078525,0,0,29.65,209.5876174,35.76758573
Year 1 May 22 22:00,31.01360137,0,0,28.875,176.1575747,35.55715941
Year 1 May 22 23:00,30.23027704,0,0,28.175,133.8167227,35.21806192
Year 1 May 23 00:00,29.40645452,0,0,27.55,91.352644,34.82826659
Year 1 May 23 01:00,28.59239827,0,0,26.875,51.97715656,34.42541978
Year 1 May 23 02:00,27.82768667,0,0,26.175,16.15924092,34.02237781
Year 1 May 23 03:00,27.33931425,0,0,25.625,-15.99121957,33.62118706
Year 1 May 23 04:00,26.91138523,0,0,25.425,-44.57870507,33.22661396
Year 1 May 23 05:00,27.16699015,0,0,26.15,-69.08640804,32.84558032
Year 1 May 23 06:00,27.57772693,0,0,26.7,-91.57432823,32.50182027
Year 1 May 23 07:00,28.07769037,14.5,87.75,27.7,-108.4578268,32.21132485
Year 1 May 23 08:00,29.76226912,58.25,466.5,29.2,-120.238489,31.98522865
Year 1 May 23 09:00,31.78490891,55.75,867.25,31.325,-125.1447633,31.84310862
Year 1 May 23 10:00,33.72802677,57,1012,33.325,-121.169852,31.81626325
Year 1 May 23 11:00,35.71299058,72,993.5,35.15,-106.8162954,31.91085152
Year 1 May 23 12:00,36.73896473,69.25,1015.5,36.2,-84.07352949,32.12104129
Year 1 May 23 13:00,38.01381453,221.75,767,36.625,-54.58668752,32.41197329
Year 1 May 23 14:00,40.67367351,283.25,643.25,36.325,-22.45215907,32.75316893
Year 1 May 23 15:00,42.39217515,411,346,35.825,13.12249814,33.15274627
Year 1 May 23 16:00,44.76654064,230.75,611.25,34.875,51.6515726,33.63104361
Year 1 May 23 17:00,43.09930151,278.75,309,33.85,98.40565114,34.16703597
Year 1 May 23 18:00,41.48740015,182.25,244,32.55,142.4819952,34.69396174
Year 1 May 23 19:00,40.02106283,79.25,219.75,31.3,174.6003911,35.11219517
Year 1 May 23 20:00,33.18246857,0,0,30.1,191.62026,35.39462062
Year 1 May 23 21:00,31.83790951,0,0,29.425,185.5628441,35.45285906
Year 1 May 23 22:00,30.88587832,0,0,28.85,156.2630468,35.27148468
Year 1 May 23 23:00,30.50302927,0,0,28.625,117.5028855,34.95871118
Year 1 May 24 00:00,30.02346154,0,0,28.225,78.31426812,34.60159779
Year 1 May 24 01:00,29.5858115,0,0,27.8,43.60158059,34.24412664
Year 1 May 24 02:00,29.14756995,0,0,27.175,13.34470601,33.90208017
Year 1 May 24 03:00,28.54877581,0,0,26.7,-12.25514405,33.57578438
Year 1 May 24 04:00,28.05108689,0,0,26.3,-34.59764248,33.26229421
Year 1 May 24 05:00,28.07003811,0,0,26.95,-54.20110395,32.95454059
Year 1 May 24 06:00,28.24795708,0,0,27.425,-72.5178898,32.66565738
Year 1 May 24 07:00,28.73422759,13.75,71.75,28.25,-87.5874354,32.41158906
Year 1 May 24 08:00,30.16551104,59.25,398.75,29.475,-98.90584899,32.20521394
Year 1 May 24 09:00,32.08669012,87.75,721.25,31.15,-104.2500933,32.07026224
Year 1 May 24 10:00,33.78965669,123.25,753.25,32.8,-101.4511236,32.03765624
Year 1 May 24 11:00,35.29784245,91,970.75,34.4,-89.20809217,32.11707331
Year 1 May 24 12:00,36.63202187,122,951.5,35.55,-69.83504151,32.29672994
Year 1 May 24 13:00,37.87513745,180,851.75,36.25,-44.94941305,32.55294184
Year 1 May 24 14:00,41.29703567,173.75,864.75,36.4,-16.52317868,32.86526332
Year 1 May 24 15:00,43.99943052,231.5,705,36.175,17.2183959,33.25599745
Year 1 May 24 16:00,45.1137449,228.75,620.75,35.425,58.04197193,33.76881863
Year 1 May 24 17:00,44.11947529,181.25,497.75,34.3,108.379634,34.34471254
Year 1 May 24 18:00,38.80385944,165.75,112.5,32.725,155.5041082,34.90615889
Year 1 May 24 19:00,38.60221687,83,164.5,31.25,183.8507495,35.29123658
Year 1 May 24 20:00,32.69668096,0,0,29.925,190.534418,35.4739053
Year 1 May 24 21:00,31.24632386,0,0,29.15,176.8139906,35.44624992
Year 1 May 24 22:00,30.56283731,0,0,28.775,143.7262393,35.21441396
Year 1 May 24 23:00,30.11257861,0,0,28.7,103.1536152,34.87458945
Year 1 May 25 00:00,29.64727537,0,0,28.55,63.98375043,34.50424634
Year 1 May 25 01:00,29.32975329,0,0,28.35,29.20016094,34.14046695
Year 1 May 25 02:00,28.94721073,0,0,27.925,-0.502114392,33.7953992
Year 1 May 25 03:00,28.58481495,0,0,27.575,-25.14515298,33.47107453
Year 1 May 25 04:00,28.28679201,0,0,27.2,-45.78370398,33.16494984
Year 1 May 25 05:00,28.02361494,0,0,26.575,-62.68126956,32.87250391
Year 1 May 25 06:00,27.95135586,0,0,26.85,-78.24467982,32.60098632
Year 1 May 25 07:00,28.62017508,14.25,66.75,28.2,-92.45103384,32.35443787
Year 1 May 25 08:00,30.24924699,53.75,428,30.025,-104.2056128,32.14977779
Year 1 May 25 09:00,32.48197551,54.5,899.5,32.075,-109.761817,32.02237414
Year 1 May 25 10:00,34.28206039,73.25,923.75,33.8,-105.83662,32.00762743
Year 1 May 25 11:00,35.82165505,105,952,35.1,-91.10883003,32.11544892
Year 1 May 25 12:00,37.27353872,261.5,635.75,35.775,-68.58358427,32.325297
Year 1 May 25 13:00,37.73250908,162.25,898,36.05,-40.02633093,32.61217782
Year 1 May 25 14:00,40.83595372,296,628,36.025,-9.966594053,32.94132074
Year 1 May 25 15:00,44.07191249,165.5,846.25,35.925,22.26466666,33.32332042
Year 1 May 25 16:00,45.66210235,211.5,662.75,35.45,61.5255072,33.81570072
Year 1 May 25 17:00,45.93571217,182.75,555.25,34.625,110.948926,34.39276778
Year 1 May 25 18:00,41.76431408,184.25,225.25,33.2,161.2410207,34.99313382
Year 1 May 25 19:00,38.78661711,82.5,126.75,31.525,199.0848452,35.47834592
Year 1 May 25 20:00,32.75642223,0,0,29.825,213.5307476,35.74550523
Year 1 May 25 21:00,31.17878304,0,0,28.65,200.4567558,35.73846315
Year 1 May 25 22:00,30.34905464,0,0,28.025,164.3347904,35.48611499
Year 1 May 25 23:00,29.91870116,0,0,27.975,119.0700461,35.11079125
Year 1 May 26 00:00,29.42789632,0,0,28.075,74.87631043,34.70165448
Year 1 May 26 01:00,29.35036177,0,0,28.1,35.61949417,34.30288085
Year 1 May 26 02:00,28.83698756,0,0,27.725,2.748590234,33.93005938
Year 1 May 26 03:00,28.60218542,0,0,27.15,-23.6769485,33.58637362
Year 1 May 26 04:00,27.97847372,0,0,26.55,-45.42830583,33.26389852
Year 1 May 26 05:00,27.67322738,0,0,26.4,-63.44651592,32.95658913
Year 1 May 26 06:00,27.73658752,0,0,26.775,-80.90520123,32.66406144
Year 1 May 26 07:00,28.04842486,15.25,42.25,27.575,-96.54149581,32.39536636
Year 1 May 26 08:00,29.60994528,73.25,254.25,28.7,-108.9862794,32.16437822
Year 1 May 26 09:00,31.52207919,105.5,593,30.35,-115.7397388,32.00058976
Year 1 May 26 10:00,33.43354206,103,838,32.15,-113.9272529,31.94338384
Year 1 May 26 11:00,35.26785769,143.25,829,33.95,-102.352596,32.00488049
Year 1 May 26 12:00,36.62664295,164,850.75,35.3,-82.26554815,32.18008426
Year 1 May 26 13:00,37.77457438,176,861,36.05,-55.67322276,32.44534529
Year 1 May 26 14:00,41.30560511,285.75,639.25,36.05,-25.33130359,32.76923385
Year 1 May 26 15:00,43.01994596,440.75,278,35.55,10.37530488,33.16943478
Year 1 May 26 16:00,44.68849456,321.25,391.75,34.5,51.59488643,33.67261878
Year 1 May 26 17:00,43.11245085,289.75,252.5,33.3,100.7172046,34.22670972
Year 1 May 26 18:00,40.8277176,182.25,177.25,32.025,145.4688001,34.75613833
Year 1 May 26 19:00,36.38906262,72,48,30.875,176.1419972,35.16136668
Year 1 May 26 20:00,32.54506233,0,0,29.85,184.2923628,35.3583446
Year 1 May 26 21:00,31.34502132,0,0,29.075,167.9924128,35.30639125
Year 1 May 26 22:00,30.30198136,0,0,28.375,135.09497,35.06459789
Year 1 May 26 23:00,29.53399612,0,0,27.75,96.6956205,34.72553055
Year 1 May 27 00:00,28.75735974,0,0,27.075,58.57881706,34.34667182
Year 1 May 27 01:00,28.04683713,0,0,26.525,23.10956702,33.95812399
Year 1 May 27 02:00,27.89809639,0,0,26.1,-9.032930843,33.57032045
Year 1 May 27 03:00,27.55532798,0,0,26,-37.04592574,33.19446372
Year 1 May 27 04:00,27.4634567,0,0,26,-59.90230093,32.84179242
Year 1 May 27 05:00,27.20642326,0,0,26,-79.60527435,32.51838197
Year 1 May 27 06:00,27.28865194,0,0,26.45,-96.27241971,32.22734199
Year 1 May 27 07:00,27.97076782,15.25,32.75,27.425,-110.3436106,31.96789352
Year 1 May 27 08:00,29.62421516,68.25,255.75,28.825,-120.7183531,31.7546208
Year 1 May 27 09:00,31.62637808,102.5,638.5,30.55,-124.6059555,31.61991204
Year 1 May 27 10:00,33.40271619,135.5,714,32.2,-119.4052621,31.59578278
Year 1 May 27 11:00,35.01930309,142.75,835,33.65,-104.4015273,31.68795292
Year 1 May 27 12:00,36.09311481,231.75,707.25,34.6,-81.86642412,31.88152474
Year 1 May 27 13:00,36.9641089,285.5,640.5,35.175,-54.43273053,32.14892018
Year 1 May 27 14:00,40.39940279,216.75,778,35.225,-25.18942002,32.4587244
Year 1 May 27 15:00,43.79012586,245.5,678,35.05,7.865361639,32.8337223
Year 1 May 27 16:00,45.3441745,255.5,543.25,34.475,48.78960312,33.3362296
Year 1 May 27 17:00,42.18428146,284.75,212,33.625,100.6754439,33.93260398
Year 1 May 27 18:00,38.78410612,168.75,99,32.5,147.3271112,34.49171449
Year 1 May 27 19:00,37.87078699,83.25,117,31.3,173.8417757,34.86484142
Year 1 May 27 20:00,32.38852718,0,0,30.1,180.6539634,35.04774406
Year 1 May 27 21:00,31.26511435,0,0,29.2,167.6847123,35.02459698
Year 1 May 27 22:00,30.54754787,0,0,28.55,137.0506403,34.80531716
Year 1 May 27 23:00,29.81731276,0,0,28.1,99.95181687,34.4874643
Year 1 May 28 00:00,29.19146972,0,0,27.625,63.63370682,34.13532577
Year 1 May 28 01:00,28.79373456,0,0,27.125,30.1403907,33.77753183
Year 1 May 28 02:00,28.07304169,0,0,26.55,0.57653472,33.42709953
Year 1 May 28 03:00,27.68578359,0,0,26.1,-25.10700014,33.08690574
Year 1 May 28 04:00,27.34058077,0,0,25.85,-47.75877189,32.75374454
Year 1 May 28 05:00,27.19111418,0,0,26.25,-67.15486061,32.43229062
Year 1 May 28 06:00,27.72184649,0,0,27.225,-85.73800677,32.13820867
Year 1 May 28 07:00,28.33441012,14.5,91.75,28.325,-101.0358076,31.88420439
Year 1 May 28 08:00,30.09680749,73.25,391.25,29.65,-110.9684934,31.68810216
Year 1 May 28 09:00,31.84013281,141.25,453.5,30.675,-113.7320914,31.57368642
Year 1 May 28 10:00,33.50844853,228.25,421.5,31.725,-106.7922619,31.56350945
Year 1 May 28 11:00,34.75584682,260.5,518.75,32.675,-91.34309476,31.6600336
Year 1 May 28 12:00,35.63550294,186,803.75,33.95,-69.57192376,31.84603365
Year 1 May 28 13:00,36.71365787,195.5,820.25,34.9,-45.71960509,32.0945574
Year 1 May 28 14:00,40.64858449,182.25,847.5,35.625,-19.91310668,32.38207436
Year 1 May 28 15:00,43.12404125,338.5,484.5,35.35,11.09184721,32.74842051
Year 1 May 28 16:00,44.7496625,298,448.25,34.525,51.26109751,33.24174615
Year 1 May 28 17:00,43.01632486,290,252.75,33.025,101.1871297,33.8131367
Year 1 May 28 18:00,40.76331066,186,174,31.625,148.6187412,34.36343059
Year 1 May 28 19:00,37.56754678,82,83.25,30.325,180.9548992,34.78769979
Year 1 May 28 20:00,32.38934681,0,0,29.55,192.7591302,35.02209189
Year 1 May 28 21:00,30.96549541,0,0,28.875,179.377372,35.01547476
Year 1 May 28 22:00,30.26276876,0,0,28.55,146.8520195,34.79096762
Year 1 May 28 23:00,29.58809523,0,0,28.125,106.5475457,34.45711071
Year 1 May 29 00:00,29.35625657,0,0,27.925,67.92348082,34.08565833
Year 1 May 29 01:00,28.80903334,0,0,27.45,32.63922288,33.71917267
Year 1 May 29 02:00,28.30896974,0,0,27.075,3.009258711,33.37046467
Year 1 May 29 03:00,28.1509154,0,0,26.475,-22.60872136,33.0379155
Year 1 May 29 04:00,27.86008735,0,0,26.3,-43.96500861,32.72091497
Year 1 May 29 05:00,27.23655388,0,0,26.075,-61.59634608,32.42478513
Year 1 May 29 06:00,27.23463938,0,0,26.375,-77.78434797,32.1459189
Year 1 May 29 07:00,27.83419832,14,74.25,27.625,-93.24114095,31.88407914
Year 1 May 29 08:00,29.82779415,58.75,414,29.5,-106.3089282,31.6629554
Year 1 May 29 09:00,32.24682975,67.25,808.75,31.725,-112.7909971,31.52496572
Year 1 May 29 10:00,34.25910991,61.25,980,33.725,-108.6138674,31.51543657
Year 1 May 29 11:00,35.75190298,72.25,1033.5,35.1,-92.70349861,31.64184015
Year 1 May 29 12:00,36.88006621,244.5,666,35.475,-67.85444219,31.87692313
Year 1 May 29 13:00,38.25994447,487.25,189.75,35.2,-37.26648609,32.18031199
Year 1 May 29 14:00,39.79935907,500.5,283.5,34.425,-4.61504,32.53010594
Year 1 May 29 15:00,41.47775589,460,293.25,33.675,28.74080692,32.92518193
Year 1 May 29 16:00,41.51390921,390.5,239,32.825,65.7219385,33.3581072
Year 1 May 29 17:00,41.46586692,289.75,240,32.15,103.1217351,33.79984264
Year 1 May 29 18:00,38.24157348,174.75,114,31.325,135.5552405,34.21137619
Year 1 May 29 19:00,34.35695935,56.25,18,30.425,156.6115299,34.5170664
Year 1 May 29 20:00,31.81616206,0,0,29.45,157.1838529,34.62352314
Year 1 May 29 21:00,30.52389404,0,0,28.75,138.6818534,34.52084148
Year 1 May 29 22:00,29.67735224,0,0,28.225,107.6621317,34.27417803
Year 1 May 29 23:00,29.21041484,0,0,28.025,72.92045181,33.95096084
Year 1 May 30 00:00,29.03773702,0,0,27.85,38.64754645,33.60572936
Year 1 May 30 01:00,28.66587796,0,0,27.65,8.607989083,33.26851247
Year 1 May 30 02:00,28.05951865,0,0,27.15,-16.50399034,32.95260815
Year 1 May 30 03:00,27.81596022,0,0,26.625,-37.48562627,32.65038492
Year 1 May 30 04:00,27.39438578,0,0,26.125,-55.15675315,32.35543023
Year 1 May 30 05:00,27.48858216,0,0,26.6,-71.61322093,32.07693678
Year 1 May 30 06:00,27.41563996,0,0,26.425,-86.67018061,31.8214161
Year 1 May 30 07:00,27.54554201,15.5,40,26.825,-97.66166051,31.58944768
Year 1 May 30 08:00,28.71311892,64.75,302.75,27.75,-107.0047295,31.38904031
Year 1 May 30 09:00,30.83827952,77.5,759.25,29.875,-112.4553484,31.24029789
Year 1 May 30 10:00,32.86552397,78.25,908,32.075,-111.7286182,31.18881668
Year 1 May 30 11:00,34.78948422,69.5,1038,34.1,-100.5890605,31.2580758
Year 1 May 30 12:00,35.91865651,187.25,803.75,34.75,-80.40514758,31.44439642
Year 1 May 30 13:00,36.72664725,303.75,606.75,34.575,-51.87682398,31.71401325
Year 1 May 30 14:00,38.40506986,409.5,380.5,33.375,-20.92708136,32.02724768
Year 1 May 30 15:00,38.85919798,453.75,177.5,32.4,10.63257907,32.37782781
Year 1 May 30 16:00,39.61817771,387.25,215.25,31.45,43.56577586,32.7477571
Year 1 May 30 17:00,40.51691693,289.5,246.75,31.05,75.67559226,33.11400856
Year 1 May 30 18:00,38.98638156,185,173,30.4,104.831114,33.4832908
Year 1 May 30 19:00,38.71647028,84.75,181.75,29.975,129.3652172,33.80623472
Year 1 May 30 20:00,32.13571677,0,0,29.225,145.0120565,34.05572218
Year 1 May 30 21:00,30.88838464,0,0,28.925,143.7916813,34.13082067
Year 1 May 30 22:00,29.97439419,0,0,28.375,121.185387,33.99282178
Year 1 May 30 23:00,29.43555336,0,0,28.2,90.12530623,33.72649333
Year 1 May 31 00:00,28.93340909,0,0,27.675,56.97705152,33.41185276
Year 1 May 31 01:00,28.6631409,0,0,27.5,26.81628797,33.08624197
Year 1 May 31 02:00,28.29486807,0,0,27.125,-0.220361304,32.77190681
Year 1 May 31 03:00,28.18810014,0,0,27.15,-22.75331607,32.47381707
Year 1 May 31 04:00,27.84902202,0,0,26.9,-41.74968528,32.19595677
Year 1 May 31 05:00,27.44039185,0,0,25.9,-56.52430732,31.93463245
Year 1 May 31 06:00,27.19614673,0,0,26.125,-69.86106517,31.68714096
Year 1 May 31 07:00,27.73469317,13.25,84.5,27.2,-83.26456098,31.45564508
Year 1 May 31 08:00,29.45006294,66.25,387.5,28.775,-94.7749999,31.25318861
Year 1 May 31 09:00,31.38998573,102.25,614,30.4,-100.7852424,31.12134537
Year 1 May 31 10:00,33.0859089,118.25,799.25,31.85,-97.35024626,31.0964205
Year 1 May 31 11:00,34.38331926,202.5,674,32.8,-84.18676641,31.18466588
Year 1 May 31 12:00,35.39529486,281.25,626.25,33.3,-63.4050103,31.36620128
Year 1 May 31 13:00,36.57138966,456,357.75,33.325,-38.53076827,31.61097909
Year 1 May 31 14:00,38.62682453,368.5,448.25,33.075,-11.19666911,31.90099002
Year 1 May 31 15:00,39.40184312,446.5,164.5,32.55,17.52721939,32.24428797
Year 1 May 31 16:00,40.4856116,391.25,214.5,31.95,50.40027161,32.62787249
Year 1 May 31 17:00,39.91009226,293.25,194.5,31.2,84.5157122,33.03014204
Year 1 May 31 18:00,38.16073098,183.5,151.25,30.4,115.7252024,33.41360526
Year 1 May 31 19:00,34.46163013,71.25,39.75,29.6,137.8141052,33.71716726
Year 1 May 31 20:00,31.26331788,0,0,28.95,143.4508461,33.86177879
Year 1 May 31 21:00,30.21666107,0,0,28.425,129.6210671,33.80663946
Year 1 May 31 22:00,29.48020871,0,0,28.15,102.3222966,33.59569051
Year 1 May 31 23:00,29.00592036,0,0,28.025,70.43681108,33.30642239
Year 1 Jun 01 00:00,28.80215238,0,0,27.925,39.0641459,32.99272656
Year 1 Jun 01 01:00,28.67463471,0,0,27.45,11.32731295,32.68357532
Year 1 Jun 01 02:00,28.18579903,0,0,27.075,-11.44575006,32.39366616
Year 1 Jun 01 03:00,28.19362095,0,0,27.225,-30.54520072,32.12568328
Year 1 Jun 01 04:00,28.20301198,0,0,27.525,-46.53211495,31.87507963
Year 1 Jun 01 05:00,28.10778262,0,0,27.9,-60.09222884,31.65354548
Year 1 Jun 01 06:00,28.44242695,0,0,28.225,-71.07261313,31.46046906
Year 1 Jun 01 07:00,28.75234455,15.25,28.75,28.525,-79.11027148,31.29515277
Year 1 Jun 01 08:00,29.71384094,84,139,28.9,-83.83727189,31.16474671
Year 1 Jun 01 09:00,30.93860335,162.5,278.5,29.3,-84.49772265,31.08041032
Year 1 Jun 01 10:00,31.83771489,208.5,483.75,29.7,-79.59768804,31.05928712
Year 1 Jun 01 11:00,32.59222689,307,422.5,29.95,-69.37131023,31.10385419
Year 1 Jun 01 12:00,33.36350282,435,178.75,30,-55.31360458,31.19996263
Year 1 Jun 01 13:00,33.60125105,430.5,110,29.85,-38.87557785,31.33531314
Year 1 Jun 01 14:00,35.52669729,495,203,29.65,-22.06237686,31.49269374
Year 1 Jun 01 15:00,36.47369917,435.75,135.5,29.45,-3.924323057,31.68389549
Year 1 Jun 01 16:00,36.93523475,354.25,117.5,29.25,18.53853447,31.92081675
Year 1 Jun 01 17:00,38.49725297,283.5,153.5,29.05,42.29888945,32.18403119
Year 1 Jun 01 18:00,35.13593887,148.25,47.25,28.775,67.37800161,32.4742646
Year 1 Jun 01 19:00,32.21082508,48.5,9.25,28.475,86.72602404,32.71797686
Year 1 Jun 01 20:00,30.21299021,0,0,28.1,90.29234181,32.80987466
Year 1 Jun 01 21:00,29.42550989,0,0,27.7,78.46468047,32.73637544
Year 1 Jun 01 22:00,28.92531767,0,0,27.3,57.35894485,32.54696476
Year 1 Jun 01 23:00,28.53454837,0,0,27.05,33.5201267,32.30347021
Year 1 Jun 02 00:00,27.99371452,0,0,26.925,10.42904327,32.04475564
Year 1 Jun 02 01:00,27.8319311,0,0,26.975,-10.53584795,31.78530281
Year 1 Jun 02 02:00,27.78088261,0,0,27.15,-29.17131499,31.53183236
Year 1 Jun 02 03:00,27.80999913,0,0,27.425,-44.40618412,31.29435898
Year 1 Jun 02 04:00,27.97213264,0,0,27.65,-57.40465604,31.08450921
Year 1 Jun 02 05:00,27.84067501,0,0,27.025,-67.06727525,30.90373848
Year 1 Jun 02 06:00,27.45403379,0,0,26.8,-73.0676293,30.74394175
Year 1 Jun 02 07:00,27.88720095,15.5,40.5,27.55,-78.76263846,30.59834745
Year 1 Jun 02 08:00,29.30457323,82.75,194.5,28.7,-84.40755741,30.46932827
Year 1 Jun 02 09:00,31.61692061,156.25,340,30.575,-86.29958752,30.39191637
Year 1 Jun 02 10:00,33.87011293,231,441,32.3,-81.13742576,30.41321971
Year 1 Jun 02 11:00,35.77817199,304.75,447.75,33.675,-65.54069703,30.55916818
Year 1 Jun 02 12:00,35.72564102,176.25,826.25,33.925,-40.57600082,30.82360351
Year 1 Jun 02 13:00,35.98932387,263,687,33.675,-10.81062512,31.14532273
Year 1 Jun 02 14:00,37.90488495,371.5,424.5,33,16.42631029,31.46871312
Year 1 Jun 02 15:00,38.84329235,430.25,156.25,32.8,42.67213411,31.80203943
Year 1 Jun 02 16:00,41.38369271,389.75,259.25,32.725,70.88550006,32.15921527
Year 1 Jun 02 17:00,42.42498992,284.75,242,32.925,102.5439309,32.56850619
Year 1 Jun 02 18:00,43.87844947,162.75,341.5,32.625,136.9547134,33.0264066
Year 1 Jun 02 19:00,39.98422969,90.25,118.75,32.05,174.4566767,33.52032855
Year 1 Jun 02 20:00,33.6017975,0,0,30.925,202.9402733,33.9398571
Year 1 Jun 02 21:00,31.9898485,0,0,30,206.8164833,34.11870794
Year 1 Jun 02 22:00,30.6627937,0,0,29.05,184.6498495,34.0360163
Year 1 Jun 02 23:00,29.85036462,0,0,28.5,150.3781709,33.79259326
Year 1 Jun 03 00:00,29.22640578,0,0,27.875,112.147732,33.4746495
Year 1 Jun 03 01:00,28.8042155,0,0,27.55,75.78710134,33.1311625
Year 1 Jun 03 02:00,28.56989667,0,0,27.125,42.87240513,32.79030269
Year 1 Jun 03 03:00,28.62462259,0,0,27,14.54449099,32.46748312
Year 1 Jun 03 04:00,28.21142494,0,0,26.7,-8.998886823,32.17525633
Year 1 Jun 03 05:00,27.96564814,0,0,26.9,-27.60172324,31.9119775
Year 1 Jun 03 06:00,27.98014067,0,0,27.525,-43.30465766,31.66767704
Year 1 Jun 03 07:00,28.34178408,15,61.5,28.3,-57.43968917,31.44785654
Year 1 Jun 03 08:00,29.89712027,63.25,367.5,29.625,-68.95714299,31.26409468
Year 1 Jun 03 09:00,31.64033597,86.75,725.75,30.9,-75.45387941,31.14693973
Year 1 Jun 03 10:00,33.30122507,122.25,758.5,32.175,-73.13702518,31.12657198
Year 1 Jun 03 11:00,34.35975981,107,924.25,33.175,-62.17048056,31.21277568
Year 1 Jun 03 12:00,35.39295837,131.75,926.75,34.15,-44.5950423,31.38782109
Year 1 Jun 03 13:00,36.35620008,198,815.75,34.625,-23.50968893,31.62325726
Year 1 Jun 03 14:00,39.95653176,255.5,701,34.775,0.368741086,31.89828876
Year 1 Jun 03 15:00,42.12917912,353.25,421,34.275,28.43902001,32.24964925
Year 1 Jun 03 16:00,41.27642969,379.75,163.25,33.5,66.41815122,32.70979574
Year 1 Jun 03 17:00,41.20268657,294.5,194.5,32.475,107.5226171,33.19794795
Year 1 Jun 03 18:00,39.65475136,187.75,160.75,31.675,142.8565293,33.64127862
Year 1 Jun 03 19:00,38.20650944,87.25,142.5,30.825,167.3636075,33.99605895
Year 1 Jun 03 20:00,32.5225899,0,0,30.15,179.4130058,34.23262485
Year 1 Jun 03 21:00,31.21133158,0,0,29.25,171.8933741,34.27813472
Year 1 Jun 03 22:00,30.41961964,0,0,28.7,146.1805308,34.11472995
Year 1 Jun 03 23:00,29.62206587,0,0,28.15,111.7598261,33.83804612
Year 1 Jun 04 00:00,29.17727302,0,0,28.075,76.84787822,33.51555876
Year 1 Jun 04 01:00,28.89820341,0,0,27.95,43.68476985,33.18445671
Year 1 Jun 04 02:00,28.8242957,0,0,27.975,14.72697417,32.86488036
Year 1 Jun 04 03:00,28.68596616,0,0,27.625,-9.546878479,32.56986844
Year 1 Jun 04 04:00,28.33478268,0,0,27.35,-28.54425982,32.30188554
Year 1 Jun 04 05:00,27.80333387,0,0,26.775,-43.83516951,32.05584455
Year 1 Jun 04 06:00,27.85984156,0,0,27.35,-57.03133782,31.81917988
Year 1 Jun 04 07:00,28.62108528,14.75,65.5,28.425,-70.91330738,31.60163554
Year 1 Jun 04 08:00,30.3404077,82.25,253.25,29.825,-81.55968908,31.42206018
Year 1 Jun 04 09:00,32.18836785,178,234.25,30.95,-85.84405056,31.32004264
Year 1 Jun 04 10:00,33.75826802,254.25,322.5,31.875,-80.25386295,31.32192094
Year 1 Jun 04 11:00,34.29122655,233,589.5,32.475,-65.73836293,31.43037943
Year 1 Jun 04 12:00,34.81464494,225.75,722.75,33.125,-45.838701,31.61309919
Year 1 Jun 04 13:00,35.65294231,311,590.75,33.525,-25.42885391,31.83006952
Year 1 Jun 04 14:00,38.98179886,215,781,33.9,-4.778645168,32.06691953
Year 1 Jun 04 15:00,42.4080664,264.25,639,33.775,19.18821358,32.36545497
Year 1 Jun 04 16:00,43.03052822,277.5,430,33.4,53.92708601,32.79034337
Year 1 Jun 04 17:00,39.98369538,259.5,144.75,32.625,98.1123097,33.30809368
Year 1 Jun 04 18:00,41.38769641,178.25,275.5,31.8,135.8240245,33.77310269
Year 1 Jun 04 19:00,36.67166916,83,77.25,30.85,163.2777329,34.15148237
Year 1 Jun 04 20:00,32.34973209,0,0,30.15,176.3491475,34.39421688
Year 1 Jun 04 21:00,31.31930545,0,0,29.475,165.8354393,34.4088372
Year 1 Jun 04 22:00,30.57258482,0,0,29.075,138.1753551,34.22647719
Year 1 Jun 04 23:00,29.99757616,0,0,28.7,103.8989063,33.94801733
Year 1 Jun 05 00:00,29.70933933,0,0,28.525,70.20487869,33.63559655
Year 1 Jun 05 01:00,29.3334998,0,0,28.125,39.59610455,33.32326947
Year 1 Jun 05 02:00,28.88702345,0,0,27.7,13.48669782,33.02533794
Year 1 Jun 05 03:00,28.38408682,0,0,27,-8.883150288,32.74222065
Year 1 Jun 05 04:00,27.94449485,0,0,26.65,-28.10000847,32.46730307
Year 1 Jun 05 05:00,27.79803896,0,0,26.6,-45.4026269,32.198525
Year 1 Jun 05 06:00,27.70737521,0,0,27.2,-60.73284035,31.93913847
Year 1 Jun 05 07:00,28.3443168,13.25,83.25,28.3,-75.46570126,31.70634231
Year 1 Jun 05 08:00,30.02929188,69.5,365.75,29.65,-87.14939741,31.5118507
Year 1 Jun 05 09:00,31.7289857,112.25,558.5,31.05,-92.49186643,31.39187734
