1,"Building 1.eso"

"Date/Time","[1] Surface Outside Face Temperature  (C)","[1] Site Outdoor Air Drybulb Temperature  (C)","[1] Surface Inside Face Temperature  (C)","[1] Site Direct Solar Radiation Rate per Area  (W/m2)","[1] Site Diffuse Solar Radiation Rate per Area  (W/m2)","[1] Surface Inside Face Conduction Heat Transfer Rate  (W)"
,"BLOCK1:ZONE1_WALL_3_0_0","Environment","BLOCK1:ZONE1_WALL_3_0_0","Environment","Environment","BLOCK1:ZONE1_WALL_3_0_0"
"Year 1 Jan 07 22:00","19.2170767193196","16.625","21.9617903500972","0","0","161.290754329347"
"Year 1 Jan 07 23:00","18.3228261300087","15.3","21.7058148494105","0","0","133.25412809339"
"Year 1 Jan 08 00:00","16.9743328245981","13.575","21.4039116181809","0","0","103.715201899461"
"Year 1 Jan 08 01:00","15.7403374390707","12.35","21.0640328049128","0","0","75.2748983919309"
"Year 1 Jan 08 02:00","14.8070936898704","11.275","20.6935111691621","0","0","44.86797846523"
"Year 1 Jan 08 03:00","14.0544366577175","11","20.295834356195","0","0","14.7325749480806"
"Year 1 Jan 08 04:00","13.3744923038183","10.55","19.8883232536874","0","0","-14.823379451659"
"Year 1 Jan 08 05:00","13.2004566035294","9.95","19.4760321527045","0","0","-41.2107666612884"
"Year 1 Jan 08 06:00","12.8657215988479","9.725","19.0715628438048","0","0","-64.0584611463877"
"Year 1 Jan 08 07:00","12.7640117429504","10.525","18.6924449119872","0","0","-83.8979638009239"
"Year 1 Jan 08 08:00","13.2417920043981","12","18.3538131675515","71.25","12.5","-103.26748809281"
"Year 1 Jan 08 09:00","15.2345680032797","14.575","18.065408969689","381.5","55.5","-119.536449095459"
"Year 1 Jan 08 10:00","17.8622481952213","17.55","17.8725803098958","754.75","64.5","-130.252624965636"
"Year 1 Jan 08 11:00","20.2941813789121","20.625","17.8232709400182","877.5","81.25","-130.086495047503"
"Year 1 Jan 08 12:00","23.1001148547662","22.9","17.9370090408886","549","186.75","-117.87361870886"
"Year 1 Jan 08 13:00","25.5458698734377","24.525","18.2073324149998","704","155.5","-93.1589580593047"
"Year 1 Jan 08 14:00","31.9718607771539","25.125","18.6160251161338","606","182.5","-58.1102010877021"
"Year 1 Jan 08 15:00","36.6380864525603","25.275","19.2098958305416","461","201.5","-8.35586826061488"
"Year 1 Jan 08 16:00","39.2077245914291","24.625","20.0566208709727","421.25","157.25","54.6809513881041"
"Year 1 Jan 08 17:00","36.2315990446266","23.65","21.0649962235583","213.25","117.5","135.444601028239"
"Year 1 Jan 08 18:00","30.0701887304152","21.975","22.0389904480643","41","29.5","212.799253486915"
"Year 1 Jan 08 19:00","24.8349147975426","20.3","22.7532257068123","0","0","264.560254780143"
"Year 1 Jan 08 20:00","22.801075607396","18.475","23.070523957962","0","0","276.108968810231"
"Year 1 Jan 08 21:00","21.2070748502102","17.25","23.0641543497224","0","0","258.246298346391"
"Year 1 Jan 08 22:00","20.2406088133248","16.175","22.8712006219896","0","0","224.887311371914"
"Year 1 Jan 08 23:00","19.5155179128857","15.375","22.5777165266076","0","0","187.038545252022"
"Year 1 Jan 09 00:00","18.3550881631903","14.225","22.2440285646559","0","0","149.3865102526"
"Year 1 Jan 09 01:00","17.2133044844186","13.225","21.889519541777","0","0","114.559511475521"
"Year 1 Jan 09 02:00","16.1158771074074","11.95","21.5138691753475","0","0","81.1690198758879"
"Year 1 Jan 09 03:00","15.3485133312206","11.075","21.1170442007483","0","0","49.0251154740795"
"Year 1 Jan 09 04:00","14.4802620157864","10.225","20.708686794295","0","0","17.7030897053558"
"Year 1 Jan 09 05:00","14.0712391792689","10.45","20.2955579932331","0","0","-11.365349513005"
"Year 1 Jan 09 06:00","13.8968002201731","10.075","19.8895985197872","0","0","-38.7138819464564"
"Year 1 Jan 09 07:00","13.6113240672123","10.65","19.498034377754","0","0","-61.0343177674204"
"Year 1 Jan 09 08:00","13.9699197704124","12.175","19.1385253022537","30","13.5","-80.9216149215533"
"Year 1 Jan 09 09:00","16.1962266858488","15.525","18.8321864011375","355.5","45.5","-100.051311364482"
"Year 1 Jan 09 10:00","18.6999074595035","19.275","18.6283237722858","1071.5","15","-114.471905014116"
"Year 1 Jan 09 11:00","21.374507791232","23.2","18.5778621511176","1022.25","28.25","-117.470512026065"
"Year 1 Jan 09 12:00","24.4390714069247","25.625","18.700701817813","789.25","116.75","-108.60283212179"
"Year 1 Jan 09 13:00","27.4260150464107","27.15","18.9859297906047","742.25","143.75","-83.6080407369589"
"Year 1 Jan 09 14:00","33.4709366790331","27.125","19.4243595029791","577.75","192.5","-46.0194464411313"
"Year 1 Jan 09 15:00","38.0917818661039","26.85","20.0566335185136","464","199.75","7.05760686041785"
"Year 1 Jan 09 16:00","37.395251695207","25.825","20.9337427700238","246.5","184","72.7148129103063"
"Year 1 Jan 09 17:00","31.8369072003081","24.825","21.903397763108","52.5","98.75","150.021684414628"
"Year 1 Jan 09 18:00","29.6651468257903","23.025","22.7076200944094","39","29.5","211.036637192585"
"Year 1 Jan 09 19:00","24.6929539996694","21.3","23.2353697626466","0","0","245.704617448853"
"Year 1 Jan 09 20:00","22.6227220285512","19.325","23.4503468692731","0","0","249.332306673772"
"Year 1 Jan 09 21:00","21.2686207320729","18.125","23.3994185694951","0","0","229.942139789939"
"Year 1 Jan 09 22:00","20.0493070943544","16.925","23.1896644118919","0","0","197.416715367515"
"Year 1 Jan 09 23:00","18.9565146545583","16.15","22.8891580214865","0","0","161.56608152568"
"Year 1 Jan 10 00:00","18.1809225314072","14.875","22.5425556598237","0","0","124.388525665122"
"Year 1 Jan 10 01:00","17.3030532711597","13.9","22.1667303458478","0","0","90.0437466370034"
"Year 1 Jan 10 02:00","16.5040237809155","12.575","21.7838342837174","0","0","57.4251179463889"
"Year 1 Jan 10 03:00","15.8467923320932","11.9","21.3948529571378","0","0","27.6072473776857"
"Year 1 Jan 10 04:00","15.0431393884691","11.05","21.0088567765347","0","0","-0.657960630944902"
"Year 1 Jan 10 05:00","14.8443878760139","11.7","20.6238000322238","0","0","-26.1346110122983"
"Year 1 Jan 10 06:00","14.4869898733205","11.475","20.2512711609022","0","0","-50.1925423984323"
"Year 1 Jan 10 07:00","14.6693034374514","12.125","19.8928346721858","0","0","-69.0310136155208"
"Year 1 Jan 10 08:00","15.217585753671","13.75","19.5737423876148","125","10.5","-87.4589352597761"
"Year 1 Jan 10 09:00","17.2559018450585","17.2","19.3156758517644","650","34.5","-103.056654029103"
"Year 1 Jan 10 10:00","19.6152304632052","20.975","19.1627422490912","1100","9.5","-113.964882922225"
"Year 1 Jan 10 11:00","22.1844819955327","24.675","19.1512676510134","1100","3","-114.500536787177"
"Year 1 Jan 10 12:00","24.5232773221215","26.575","19.298753391275","1055.75","26.25","-103.555075215559"
"Year 1 Jan 10 13:00","27.5355624261579","27.35","19.5810028034561","868","104.5","-77.8688616854531"
"Year 1 Jan 10 14:00","32.6192268333616","26.675","19.9918234941124","651.5","168.5","-41.4636813114809"
"Year 1 Jan 10 15:00","36.0413622661602","26.1","20.5715297184545","452.25","204.25","7.89981049589067"
"Year 1 Jan 10 16:00","37.0318228912014","25.175","21.3503207669619","325","187.75","66.3887705468731"
"Year 1 Jan 10 17:00","37.1419903518025","24.825","22.2167748309114","290","111.25","135.176563411206"
"Year 1 Jan 10 18:00","31.2318522075795","23.9","23.0684251528051","61","32","200.421935036932"
"Year 1 Jan 10 19:00","25.894340801314","23.15","23.7417429745301","0","0","247.847407830314"
"Year 1 Jan 10 20:00","23.9282728800888","21.8","24.0651576806312","0","0","258.911410303415"
"Year 1 Jan 10 21:00","22.8458934185025","20.8","24.0797665492999","0","0","242.596313591752"
"Year 1 Jan 10 22:00","21.4854517474974","19.4","23.919128814339","0","0","211.843213057057"
"Year 1 Jan 10 23:00","20.2869164628373","18.25","23.6627555766493","0","0","177.606184386187"
"Year 1 Jan 11 00:00","19.1671060186331","16.5","23.3476100656626","0","0","142.14780209581"
"Year 1 Jan 11 01:00","18.396009212543","15.175","22.98989490468","0","0","107.987934102342"
"Year 1 Jan 11 02:00","17.3983203812564","13.775","22.6112595680933","0","0","74.6572678140085"
"Year 1 Jan 11 03:00","16.4981838131328","13.175","22.2224706640589","0","0","43.2471037875848"
"Year 1 Jan 11 04:00","16.0944604665706","12.35","21.8291046229044","0","0","12.5575515048184"
"Year 1 Jan 11 05:00","15.6200483829423","12.775","21.4342350420409","0","0","-15.1020436367112"
"Year 1 Jan 11 06:00","14.9412548190807","11.95","21.0566161462863","0","0","-40.5031056964092"
"Year 1 Jan 11 07:00","14.3591120924043","11.75","20.683209803046","0","0","-60.944865238725"
"Year 1 Jan 11 08:00","14.639130318195","12.85","20.3179436648828","63.75","13","-80.6027591921734"
