1,"eplusout.eso"

"Date/Time","[1] Site Diffuse Solar Radiation Rate per Area  (W/m2)","[1] Site Direct Solar Radiation Rate per Area  (W/m2)","[1] Site Outdoor Air Drybulb Temperature  (C)","[1] Surface Inside Face Temperature  (C)","[1] Surface Outside Face Convection Heat Transfer Coefficient  (W/m2-K)","[1] Surface Outside Face Temperature  (C)","[1] Surface Inside Face Conduction Heat Transfer Rate  (W)"
,"Environment","Environment","Environment","BLOCK1:ZONE1_WALL_3_0_0","BLOCK1:ZONE1_WALL_3_0_0","BLOCK1:ZONE1_WALL_3_0_0","BLOCK1:ZONE1_WALL_3_0_0"
"Year 1 Jan 04 15:00","221.5","345.25","27","17.4655727450357","8.71510294245634","27.1193588576891","69.7631487201723"
"Year 1 Jan 04 16:00","188.25","207.75","26.4","18.0365780173349","8.57089100669601","26.7501209203738","106.736556575704"
"Year 1 Jan 04 17:00","94.25","263.5","25.6","18.5586199459315","9.42014984497585","25.4107819600778","140.099719473019"
"Year 1 Jan 04 18:00","8.5","0.5","24.05","18.9896715599455","9.42234981781909","23.4358702662827","165.046414481449"
"Year 1 Jan 04 19:00","0","0","22.4","19.2837458014918","9.37204503614561","22.0948740980879","178.712135926154"
"Year 1 Jan 04 20:00","0","0","20.35","19.4377693687635","8.47479676545422","20.7077295359736","180.162582270339"
"Year 1 Jan 04 21:00","0","0","18.675","19.470263829453","9.30920343427649","19.4041824901115","172.802499341549"
"Year 1 Jan 04 22:00","0","0","16.95","19.4062439347163","8.26112950571023","18.142330368544","157.907528407383"
"Year 1 Jan 04 23:00","0","0","15.675","19.2609403334313","7.54835454877123","17.1258512476486","138.548859741446"
"Year 1 Jan 05 00:00","0","0","14.2","19.0548285536786","5.75020685086553","16.2495439113024","115.78554699972"
"Year 1 Jan 05 01:00","0","0","13.125","18.8029824581889","3.98425304087099","15.5728830995358","92.4196016297656"
"Year 1 Jan 05 02:00","0","0","12.075","18.5275933542681","2.17814307389996","14.98623874271","68.3765677254142"
"Year 1 Jan 05 03:00","0","0","11.575","18.2403361998684","2.07044048026892","14.3908317025868","45.5356283805124"
"Year 1 Jan 05 04:00","0","0","11.2","17.9536278854831","2.06179945254695","14.1064162416754","23.1457939655463"
"Year 1 Jan 05 05:00","0","0","11.625","17.6705329024475","6.18319724193489","13.4485795671079","2.75307065206067"
"Year 1 Jan 05 06:00","0","0","11.95","17.398143904173","6.69520160010559","13.077805374289","-16.5292292268641"
"Year 1 Jan 05 07:00","0","0","12.675","17.1276827131755","6.32914824834088","13.3116516897781","-33.5518490699866"
"Year 1 Jan 05 08:00","13.5","58.25","14.325","16.8754775182041","6.56133866255443","14.1163653523174","-48.7268853589225"
"Year 1 Jan 05 09:00","48.5","414.5","16.15","16.6813648069174","7.44648847876088","15.954805798109","-62.3404920565612"
"Year 1 Jan 05 10:00","58.75","858.5","18.25","16.5786205772403","8.02645986485435","18.052962038487","-69.0265333895954"
"Year 1 Jan 05 11:00","115","682","20.15","16.6022674033361","7.85622039824147","20.2800644857079","-67.0443685884448"
"Year 1 Jan 05 12:00","48","1043.75","22.1","16.7627916290243","6.58231929225472","21.5959256264235","-54.880342685481"
"Year 1 Jan 05 13:00","87","925.5","23.575","17.0358182549982","5.2101448445737","23.1129374436736","-34.3861208684536"
"Year 1 Jan 05 14:00","188","574.75","24.725","17.3858784689001","4.39208320687419","24.5146013326351","-8.55165513124156"
"Year 1 Jan 05 15:00","242","310.25","24.925","17.7963917698964","5.44229676789439","25.674551209059","20.2452776387717"
"Year 1 Jan 05 16:00","141.75","457","24.45","18.2497600571764","6.22181808220283","24.8996923583192","50.1336742711674"
"Year 1 Jan 05 17:00","117.5","144.25","23.025","18.6906031409678","7.384539283169","23.3890880353986","79.0822425969619"
"Year 1 Jan 05 18:00","28","39.5","21.25","19.0374154558569","7.55510993721726","21.3398867985514","102.676629245993"
"Year 1 Jan 05 19:00","0","0","19.15","19.2477417721812","6.35631059559008","19.6311824066255","114.712251368298"
"Year 1 Jan 05 20:00","0","0","17.4","19.3087123264429","3.74228209545327","18.4053560452805","114.96753219179"
"Year 1 Jan 05 21:00","0","0","15.95","19.2493491730897","1.89201762386797","17.5685428085811","105.284466105487"
"Year 1 Jan 05 22:00","0","0","15.375","19.1073209880686","1.61811335853468","17.0144193978756","90.0013827697062"
"Year 1 Jan 05 23:00","0","0","15.225","18.9246685957934","1.52518488311355","16.6165820617316","70.9554781080538"
"Year 1 Jan 06 00:00","0","0","15.575","18.7256298409702","2.55690834632347","16.3013782579076","51.6193172429676"
"Year 1 Jan 06 01:00","0","0","15.625","18.526560667478","5.79381922118826","16.2057493026192","33.1467148118514"
"Year 1 Jan 06 02:00","0","0","15.3","18.3334416658026","7.8534464268678","15.9194750247121","17.4398982991334"
"Year 1 Jan 06 03:00","0","0","14.225","18.1499856926926","9.78611879942293","15.1687315406919","4.46356685165405"
"Year 1 Jan 06 04:00","0","0","13.075","17.962135844326","9.39031871197505","14.2741966947736","-6.63223954011136"
"Year 1 Jan 06 05:00","0","0","11.15","17.7529267941923","3.39502364989318","13.365582116618","-18.1866355327455"
"Year 1 Jan 06 06:00","0","0","10.075","17.5085706894681","1.87377690134578","12.6782434453924","-30.2350150489104"
