1,"Building 1.eso"

"Date/Time","[1] Surface Outside Face Temperature  (C)","[1] Site Direct Solar Radiation Rate per Area  (W/m2)","[1] Site Diffuse Solar Radiation Rate per Area  (W/m2)","[1] Surface Inside Face Conduction Heat Transfer Rate  (W)","[1] Surface Inside Face Temperature  (C)","[1] Site Outdoor Air Drybulb Temperature  (C)"
,"BLOCK1:ZONE1_WALL_3_0_0","Environment","Environment","BLOCK1:ZONE1_WALL_3_0_0","BLOCK1:ZONE1_WALL_3_0_0","Environment"
"Year 1 Jan 05 15:00","37.6703529677986","799.5","103.25","6.38566989107616","21.347741250035","25.275"
"Year 1 Jan 05 16:00","41.1464380807506","634","106.5","57.8116672416945","22.0392540322358","25.25"
"Year 1 Jan 05 17:00","38.4153744319228","336.75","89","131.407185557333","22.9570303218659","25.05"
"Year 1 Jan 05 18:00","30.7865021069714","42.75","30.75","206.788334202151","23.9092949543302","24.85"
"Year 1 Jan 05 19:00","26.5458203781873","0","0","254.388832798197","24.601201969722","23.6"
"Year 1 Jan 05 20:00","24.6035379173523","0","0","264.488146241828","24.9019561561292","22"
"Year 1 Jan 05 21:00","23.0982255355916","0","0","246.40238981277","24.8979945839263","20.4"
"Year 1 Jan 05 22:00","21.9269380673475","0","0","214.401291961173","24.7124087174155","19.475"
"Year 1 Jan 05 23:00","20.979483846846","0","0","176.401708008286","24.4325266035013","18.85"
"Year 1 Jan 06 00:00","20.1102332869501","0","0","138.396660662862","24.103270869894","18.175"
"Year 1 Jan 06 01:00","19.3559188791177","0","0","102.050066631264","23.7523855883258","17.475"
"Year 1 Jan 06 02:00","18.7007536952217","0","0","68.704195855291","23.3918339293995","16.85"
"Year 1 Jan 06 03:00","18.0747068193697","0","0","38.2076832653207","23.0311307361732","16.175"
"Year 1 Jan 06 04:00","17.3709785872904","0","0","10.7702164085627","22.6746965866059","15.025"
"Year 1 Jan 06 05:00","16.6373399336128","0","0","-13.2783038108294","22.3187270648059","13.65"
"Year 1 Jan 06 06:00","15.907192799091","0","0","-35.1019007973387","21.9603529350067","12.325"
"Year 1 Jan 06 07:00","15.4976591244394","0","0","-55.4731895655819","21.5977292150076","12.375"
"Year 1 Jan 06 08:00","15.824023276249","54.25","34.25","-74.8235895482602","21.2373308162453","12.8"
