1,"Building 1.eso"

"Date/Time","[1] Site Diffuse Solar Radiation Rate per Area  (W/m2)","[1] Site Direct Solar Radiation Rate per Area  (W/m2)","[1] Site Outdoor Air Drybulb Temperature  (C)","[1] Surface Inside Face Temperature  (C)","[1] Surface Outside Face Temperature  (C)","[1] Surface Inside Face Conduction Heat Transfer Rate  (W)"
,"Environment","Environment","Environment","BLOCK1:ZONE1_WALL_3_0_0","BLOCK1:ZONE1_WALL_3_0_0","BLOCK1:ZONE1_WALL_3_0_0"
"Year 1 Jan 09 03:00","0","0","11.075","26.6585783699742","17.7723422187406","3.82070420412862"
"Year 1 Jan 09 04:00","0","0","10.225","26.0768537931799","16.6584968307761","-37.59919489455"
"Year 1 Jan 09 05:00","0","0","10.45","25.4994498714576","16.2374572946238","-74.4808618846985"
"Year 1 Jan 09 06:00","0","0","10.075","24.9319106685311","16.0065125137401","-106.628381865627"
"Year 1 Jan 09 07:00","0","0","10.65","24.3993792845539","15.5762916931837","-135.354006524051"
"Year 1 Jan 09 08:00","13.5","30","12.175","23.9181133162247","16.4059382974738","-161.647833841157"
"Year 1 Jan 09 09:00","45.5","355.5","15.525","23.5008297210082","23.2966396941088","-183.630117737753"
"Year 1 Jan 09 10:00","15","1071.5","19.275","23.2845316042249","37.7928782335117","-190.984739738674"
"Year 1 Jan 09 11:00","28.25","1022.25","23.2","23.567515952262","43.7101187303965","-154.085151802751"
"Year 1 Jan 09 12:00","116.75","789.25","25.625","24.4269835505197","47.5743018485576","-71.1119654902387"
"Year 1 Jan 09 13:00","143.75","742.25","27.15","25.667436134643","51.1878476387013","31.9987913202906"
"Year 1 Jan 09 14:00","192.5","577.75","27.125","27.0736588716078","51.2373290290218","149.597485773869"
"Year 1 Jan 09 15:00","199.75","464","26.85","28.4621234764686","49.4896772398111","268.473352458625"
"Year 1 Jan 09 16:00","184","246.5","25.825","29.6979041410601","43.9570483559189","367.688420963611"
"Year 1 Jan 09 17:00","98.75","52.5","24.825","30.6360455973969","36.7008623800375","433.835511653858"
"Year 1 Jan 09 18:00","29.5","39","23.025","31.1509129135809","32.8449759485732","452.918720328018"
"Year 1 Jan 09 19:00","0","0","21.3","31.2575186775533","28.5973163249538","432.395254234514"
"Year 1 Jan 09 20:00","0","0","19.325","31.0414993982664","26.1684018387784","382.421572094979"
"Year 1 Jan 09 21:00","0","0","18.125","30.6025158406855","24.4505600101319","318.238110738"
"Year 1 Jan 09 22:00","0","0","16.925","30.0485433851656","22.9669145606391","248.419445226305"
"Year 1 Jan 09 23:00","0","0","16.15","29.442363377137","21.600266386552","181.379921657834"
"Year 1 Jan 10 00:00","0","0","14.875","28.8168039252019","20.6494126800936","119.478716540948"
"Year 1 Jan 10 01:00","0","0","13.9","28.1913964832861","19.6432017751714","63.7399727163994"
"Year 1 Jan 10 02:00","0","0","12.575","27.5828460092973","18.8702304817041","13.9834882070268"
"Year 1 Jan 10 03:00","0","0","11.9","26.9898211786398","18.2008179820822","-28.8560502297982"
"Year 1 Jan 10 04:00","0","0","11.05","26.4214855775961","17.3159903270214","-66.3786542275586"
"Year 1 Jan 10 05:00","0","0","11.7","25.8698016907543","17.05293478114","-97.8133789706453"
"Year 1 Jan 10 06:00","0","0","11.475","25.3461999808261","16.6209353539056","-126.895454161598"
"Year 1 Jan 10 07:00","0","0","12.125","24.8600380583978","16.7418301949787","-151.964332388308"
"Year 1 Jan 10 08:00","10.5","125","13.75","24.4225567513758","19.29474381434","-174.396599997546"
"Year 1 Jan 10 09:00","34.5","650","17.2","24.0837075969276","30.0701587081874","-189.393840364548"
"Year 1 Jan 10 10:00","9.5","1100","20.975","24.0652258957603","41.3668838293723","-178.883115803787"
"Year 1 Jan 10 11:00","3","1100","24.675","24.5902956235923","45.9308080949513","-121.404605082138"
"Year 1 Jan 10 12:00","26.25","1055.75","26.575","25.6146201674434","49.2100145681258","-27.8060381720375"
"Year 1 Jan 10 13:00","104.5","868","27.35","26.92805971543","50.2166940474679","78.8101727956811"
"Year 1 Jan 10 14:00","168.5","651.5","26.675","28.2772006124195","49.1298097831971","195.0849112105"
"Year 1 Jan 10 15:00","204.25","452.25","26.1","29.5131449638715","46.2143505329673","299.353166766984"
"Year 1 Jan 10 16:00","187.75","325","25.175","30.5294757177589","42.4862846874267","376.147025306824"
"Year 1 Jan 10 17:00","111.25","290","24.825","31.2522932694266","39.1148789309931","420.361954010332"
"Year 1 Jan 10 18:00","32","61","23.9","31.6837589226851","33.2355919803139","431.299613371675"
"Year 1 Jan 10 19:00","0","0","23.15","31.8049427161153","29.060885164395","412.586849403424"
"Year 1 Jan 10 20:00","0","0","21.8","31.6143096833842","26.9391259576129","364.301102487669"
"Year 1 Jan 10 21:00","0","0","20.8","31.2008357796604","25.6509015516786","301.678262954611"
"Year 1 Jan 10 22:00","0","0","19.4","30.6793139625527","24.0921340729149","235.383316647646"
"Year 1 Jan 10 23:00","0","0","18.25","30.1133533706848","22.7151629624634","172.792481123053"
"Year 1 Jan 11 00:00","0","0","16.5","29.5249010276857","21.477054172148","115.074248928106"
"Year 1 Jan 11 01:00","0","0","15.175","28.9264733707929","20.6272325569227","62.4676677255318"
"Year 1 Jan 11 02:00","0","0","13.775","28.3352495080551","19.5705054603333","14.2322617264633"
"Year 1 Jan 11 03:00","0","0","13.175","27.7544407637023","18.5749159210658","-28.0463766225162"
"Year 1 Jan 11 04:00","0","0","12.35","27.1840621772663","18.0734111785858","-66.3988555692038"
"Year 1 Jan 11 05:00","0","0","12.775","26.621618730523","17.4323521578895","-98.8873684265118"
"Year 1 Jan 11 06:00","0","0","11.95","26.0885760186499","16.8065600697598","-128.943246861086"
"Year 1 Jan 11 07:00","0","0","11.75","25.5785612379327","16.2182788251568","-154.826844126991"
"Year 1 Jan 11 08:00","13","63.75","12.85","25.0961325918197","17.6148555743551","-179.335938938427"
"Year 1 Jan 11 09:00","52.75","388.25","15.675","24.673542266297","25.4855758055099","-199.984052200205"
"Year 1 Jan 11 10:00","59","806.25","19.125","24.4805767088996","36.9997795162911","-202.495648726093"
"Year 1 Jan 11 11:00","67","897.5","22.7","24.7566068826592","44.5219199072705","-163.805815978262"
"Year 1 Jan 11 12:00","100","871.5","25.175","25.5681543452659","50.632208560223","-82.2778565196758"
"Year 1 Jan 11 13:00","255","400","26.675","26.8179261407996","48.2393648106403","23.9432652733797"
"Year 1 Jan 11 14:00","275.75","315.25","27","28.1869506742182","47.2870420775581","142.1996318209"
"Year 1 Jan 11 15:00","161","599.75","26.925","29.4023897391297","49.8900847646022","243.174805523064"
