1,"eplusout.eso"

"Date/Time","[1] Site Diffuse Solar Radiation Rate per Area  (W/m2)","[1] Site Direct Solar Radiation Rate per Area  (W/m2)","[1] Site Outdoor Air Drybulb Temperature  (C)","[1] Surface Inside Face Temperature  (C)","[1] Surface Outside Face Temperature  (C)"
,"Environment","Environment","Environment","BLOCK1:ZONE1_WALL_3_0_0","BLOCK1:ZONE1_WALL_3_0_0"
"Year 1 Apr 12 04:00","0","0","26.475","31.5385801245477","27.3905899921672"
"Year 1 Apr 12 05:00","0","0","25.7","31.2826065977018","26.7934136108856"
"Year 1 Apr 12 06:00","0","0","24.975","31.0178284225222","26.2148031791455"
"Year 1 Apr 12 07:00","31.5","42","25.1","30.7453880104076","26.5872361812178"
"Year 1 Apr 12 08:00","110","246","25.5","30.4864775047839","28.2084886430264"
"Year 1 Apr 12 09:00","153.5","533","25.9","30.2924510799136","29.2687761341036"
"Year 1 Apr 12 10:00","155","722.75","27.725","30.1915113141447","30.843034041548"
"Year 1 Apr 12 11:00","139.5","834.75","29.95","30.1933274266426","32.463536556456"
"Year 1 Apr 12 12:00","121","898","32.225","30.2964862807276","33.9828324536805"
"Year 1 Apr 12 13:00","121.25","911.5","33.85","30.4948462150928","35.2851995784467"
"Year 1 Apr 12 14:00","124.75","894.5","35.25","30.7679020960353","36.517934584616"
"Year 1 Apr 12 15:00","161","807","36.65","31.0957888476235","37.8068148367332"
"Year 1 Apr 12 16:00","159","703.25","36.925","31.4686186513674","38.1919613827525"
"Year 1 Apr 12 17:00","140","518.5","36.75","31.8636151447713","37.9509326876945"
"Year 1 Apr 12 18:00","103","207.75","36.625","32.2338014492826","37.3835390778377"
"Year 1 Apr 12 19:00","14","0","35.7","32.5483610606042","35.0501107561051"
"Year 1 Apr 12 20:00","0","0","34.425","32.7597438631368","33.8209148000783"
"Year 1 Apr 12 21:00","0","0","33.2","32.8466994293428","32.8614754097873"
"Year 1 Apr 12 22:00","0","0","32","32.8343341332058","31.9898506993752"
"Year 1 Apr 12 23:00","0","0","30.725","32.7513064911162","31.0563830837695"
"Year 1 Apr 13 00:00","0","0","29.5","32.6141621687817","30.1663669734677"
"Year 1 Apr 13 01:00","0","0","28.9","32.433970919048","29.5193543012353"
"Year 1 Apr 13 02:00","0","0","28.5","32.2266781585617","29.0761964544003"
"Year 1 Apr 13 03:00","0","0","28.1","32.004895310157","28.6527712101306"
"Year 1 Apr 13 04:00","0","0","27.25","31.7786647851872","28.1068008331669"
"Year 1 Apr 13 05:00","0","0","26.25","31.5476433952992","27.4610370845107"
"Year 1 Apr 13 06:00","0","0","25.25","31.3087389116519","26.7861867230986"
"Year 1 Apr 13 07:00","31.75","42.5","25.525","31.0584916307505","27.2050718669269"
"Year 1 Apr 13 08:00","111.25","247.25","26.15","30.8162134765449","28.9570396271263"
"Year 1 Apr 13 09:00","155.25","532.25","26.825","30.6401351646951","30.120263200644"
"Year 1 Apr 13 10:00","157.25","720","28.65","30.561548100635","31.7062754354088"
"Year 1 Apr 13 11:00","170.25","792.75","30.85","30.5872985875986","33.5228633231124"
"Year 1 Apr 13 12:00","227.25","767.75","33.05","30.7172783129404","35.3766937086528"
"Year 1 Apr 13 13:00","218.75","809.5","34.425","30.9521892642042","36.6712794527064"
"Year 1 Apr 13 14:00","169","850.75","35.6","31.2666227709616","37.5535667604936"
"Year 1 Apr 13 15:00","158.25","811.75","36.725","31.6309480936269","38.328540697158"
"Year 1 Apr 13 16:00","157.25","707.25","37.075","32.0221778192701","38.525727174693"
"Year 1 Apr 13 17:00","139.25","522","37.25","32.4049325264882","38.3592001313229"
"Year 1 Apr 13 18:00","103.25","209.25","37.375","32.7545455450077","37.9216977143863"
"Year 1 Apr 13 19:00","14.5","0","36.5","33.051831970963","35.5764649093036"
"Year 1 Apr 13 20:00","0","0","35.3","33.2520401289772","34.3675981219879"
"Year 1 Apr 13 21:00","0","0","34.1","33.332808730719","33.4957314884702"
"Year 1 Apr 13 22:00","0","0","33.125","33.3189388039055","32.7599494638881"
"Year 1 Apr 13 23:00","0","0","32.15","33.2426950172954","32.0534165345329"
"Year 1 Apr 14 00:00","0","0","31.225","33.1232893347159","31.3618798328446"
"Year 1 Apr 14 01:00","0","0","30.7","32.9727263064424","30.8629815378044"
"Year 1 Apr 14 02:00","0","0","30.3","32.8028154644995","30.4615362863659"
"Year 1 Apr 14 03:00","0","0","29.9","32.6228044168538","30.081252930256"
"Year 1 Apr 14 04:00","0","0","29.05","32.4383462001434","29.4603207642971"
"Year 1 Apr 14 05:00","0","0","28.05","32.2468410575339","28.7016030506626"
"Year 1 Apr 14 06:00","0","0","27.05","32.04065233516","27.8990631818436"
"Year 1 Apr 14 07:00","31.75","49","27.1","31.8138948644504","28.2454206505506"
"Year 1 Apr 14 08:00","113.75","259.75","27.5","31.5847726000167","29.9494219058952"
"Year 1 Apr 14 09:00","170.75","512","27.9","31.4129427750336","31.4115091491581"
"Year 1 Apr 14 10:00","164.5","722","29.725","31.3403206235343","33.0148057309939"
"Year 1 Apr 14 11:00","165","816.75","32.1","31.3808428078621","34.7866643422619"
"Year 1 Apr 14 12:00","167","856.5","34.425","31.530663519915","36.3235907820232"
"Year 1 Apr 14 13:00","183.75","846","35.825","31.7782906644191","37.5614406419435"
"Year 1 Apr 14 14:00","200","802.25","36.85","32.0915304946977","38.6279049115566"
"Year 1 Apr 14 15:00","216.75","725.75","37.925","32.4543180713244","39.5905954187939"
"Year 1 Apr 14 16:00","161.75","696.5","38.275","32.8501976484015","39.5307454701992"
"Year 1 Apr 14 17:00","139.25","521.5","38.45","33.2381425609444","39.230181773358"
"Year 1 Apr 14 18:00","103.25","210","38.575","33.5880037654539","38.8249010751261"
"Year 1 Apr 14 19:00","14.5","0","37.625","33.8806975607336","36.5212203512329"
"Year 1 Apr 14 20:00","0","0","36.325","34.0766800384824","35.2657529215862"
"Year 1 Apr 14 21:00","0","0","35.025","34.1545284449853","34.2977987530916"
"Year 1 Apr 14 22:00","0","0","33.725","34.135919173455","33.3707428045848"
"Year 1 Apr 14 23:00","0","0","32.425","34.0482032349052","32.447843262908"
"Year 1 Apr 15 00:00","0","0","31.125","33.9077315625185","31.5231840294399"
"Year 1 Apr 15 01:00","0","0","30.2","33.7236866637528","30.7672783862961"
"Year 1 Apr 15 02:00","0","0","29.4","33.5089600703914","30.1339245119373"
"Year 1 Apr 15 03:00","0","0","28.6","33.2730244907468","29.552004957424"
"Year 1 Apr 15 04:00","0","0","27.8","33.0255126302851","28.9389181184123"
"Year 1 Apr 15 05:00","0","0","27","32.7691421616112","28.3089980268745"
"Year 1 Apr 15 06:00","0","0","26.2","32.5044358605314","27.6755248756803"
"Year 1 Apr 15 07:00","34.5","42","26.15","32.2310054876314","28.0659507148629"
"Year 1 Apr 15 08:00","121","243.75","26.35","31.9661475294844","29.8519832766529"
"Year 1 Apr 15 09:00","173.5","520.5","26.55","31.7700271211847","30.929229993546"
"Year 1 Apr 15 10:00","185.75","699","28.925","31.6727678764423","32.8551676892953"
"Year 1 Apr 15 11:00","176.25","807.75","32.1","31.6905758900714","34.9873338844928"
"Year 1 Apr 15 12:00","158","871.75","35.225","31.8312607611683","36.8874227085112"
"Year 1 Apr 15 13:00","152.5","896","36.675","32.0906296116473","38.1081282267052"
"Year 1 Apr 15 14:00","148.75","885.5","37.65","32.4282678029158","39.0033535427527"
"Year 1 Apr 15 15:00","161.25","821.25","38.575","32.8131247476562","39.756171726694"
"Year 1 Apr 15 16:00","163.25","709","38.725","33.2206968344272","39.8763848789237"
"Year 1 Apr 15 17:00","149.25","515","38.7","33.6159626555679","39.6034568885399"
"Year 1 Apr 15 18:00","99.75","226.5","38.625","33.9708268387077","38.9816427724198"
"Year 1 Apr 15 19:00","15","0","37.475","34.2640234758133","36.3987732333765"
"Year 1 Apr 15 20:00","0","0","35.9","34.4489181983911","34.9357611768224"
"Year 1 Apr 15 21:00","0","0","34.375","34.5010720359621","33.8582879314896"
"Year 1 Apr 15 22:00","0","0","33.025","34.4467353735906","32.9397582702942"
"Year 1 Apr 15 23:00","0","0","31.8","34.3199595616723","32.0756320136277"
"Year 1 Apr 16 00:00","0","0","30.525","34.1424486702857","31.1842185341494"
"Year 1 Apr 16 01:00","0","0","29.675","33.9275827697232","30.4784543688341"
"Year 1 Apr 16 02:00","0","0","28.9","33.688416713435","29.8669885716569"
"Year 1 Apr 16 03:00","0","0","28.175","33.4339064514378","29.3067500153092"
"Year 1 Apr 16 04:00","0","0","27.625","33.1709593542239","28.8002596588023"
"Year 1 Apr 16 05:00","0","0","27.2","32.9046421037382","28.3552801045779"
"Year 1 Apr 16 06:00","0","0","26.725","32.6371931478894","27.9302519599382"
"Year 1 Apr 16 07:00","33","51.25","27.05","32.3707365772145","28.512185124988"
"Year 1 Apr 16 08:00","115.5","267.75","27.65","32.1321708198677","30.4692981355528"
"Year 1 Apr 16 09:00","171.75","516","28.25","31.9690770141917","31.6121776994034"
"Year 1 Apr 16 10:00","165.5","722.75","30.125","31.9096741092872","33.0463230787831"
"Year 1 Apr 16 11:00","166","817.5","32.5","31.9523138077572","34.8169257008248"
"Year 1 Apr 16 12:00","165","863.5","34.825","32.0929553238245","36.4096550536819"
"Year 1 Apr 16 13:00","169.25","871","35.55","32.3264680795865","37.3480568762449"
"Year 1 Apr 16 14:00","166","858.75","35.825","32.6188137849145","37.9447761296837"
"Year 1 Apr 16 15:00","172.25","799.75","36.05","32.942217394493","38.4220705209186"
"Year 1 Apr 16 16:00","170.25","693.5","36.25","33.2747000374315","38.4562205483421"
"Year 1 Apr 16 17:00","152.5","506","36.525","33.58958338109","38.1666730506937"
"Year 1 Apr 16 18:00","100.5","224.25","36.75","33.8679663638856","37.6911113616295"
"Year 1 Apr 16 19:00","15","0","35.825","34.0946247631402","35.3137358660882"
"Year 1 Apr 16 20:00","0","0","34.6","34.2276498877256","34.0351893547537"
"Year 1 Apr 16 21:00","0","0","33.325","34.2451388187108","33.0624395297356"
"Year 1 Apr 16 22:00","0","0","32.325","34.1700472268508","32.2546848620625"
"Year 1 Apr 16 23:00","0","0","31.5","34.0331670578114","31.5559186689728"
"Year 1 Apr 17 00:00","0","0","30.625","33.8557222736389","30.8615192927631"
"Year 1 Apr 17 01:00","0","0","29.575","33.6506209631393","30.1040204446369"
"Year 1 Apr 17 02:00","0","0","28.4","33.4238175547349","29.2897021056005"
"Year 1 Apr 17 03:00","0","0","27.275","33.1752686433852","28.4842290103541"
"Year 1 Apr 17 04:00","0","0","26.625","32.9057456364614","27.8342975233536"
"Year 1 Apr 17 05:00","0","0","26.05","32.6195343969826","27.2440968902844"
"Year 1 Apr 17 06:00","0","0","25.525","32.3202045729565","26.6910104841289"
"Year 1 Apr 17 07:00","35.75","42.75","26.15","32.020223115021","27.3710022545544"
"Year 1 Apr 17 08:00","123.25","245.25","27.15","31.746732356997","29.5480892177133"
"Year 1 Apr 17 09:00","176.5","517.75","28.15","31.5570707711596","31.2383809338063"
"Year 1 Apr 17 10:00","187.5","699","30.05","31.4903095513928","33.1427863868162"
"Year 1 Apr 17 11:00","170.75","819","32.25","31.5517422476903","34.7996860133931"
"Year 1 Apr 17 12:00","144.75","894","34.45","31.7261811405832","36.1301611973428"
"Year 1 Apr 17 13:00","148.25","903","35.375","31.9898220245031","37.0439869505324"
"Year 1 Apr 17 14:00","146.75","889.25","35.95","32.303483697182","37.7246307726859"
"Year 1 Apr 17 15:00","159.75","823.75","36.475","32.6424074920074","38.2686127169374"
"Year 1 Apr 17 16:00","163.5","709.25","36.525","32.9884036677856","38.2903060978096"
"Year 1 Apr 17 17:00","150.25","513.25","36.5","33.3193369857092","37.9905904283279"
"Year 1 Apr 17 18:00","100.75","225.75","36.425","33.6088313262931","37.4067311263718"
"Year 1 Apr 17 19:00","15.5","0","35.275","33.841397555656","34.9230140438004"
"Year 1 Apr 17 20:00","0","0","33.7","33.9731643989604","33.4821279840924"
"Year 1 Apr 17 21:00","0","0","32.175","33.9801021776744","32.3805913038875"
"Year 1 Apr 17 22:00","0","0","31.2","33.8861434998666","31.5242312149844"
"Year 1 Apr 17 23:00","0","0","30.4","33.7255351245595","30.7798472928835"
"Year 1 Apr 18 00:00","0","0","29.6","33.5228156986708","30.0619130761161"
"Year 1 Apr 18 01:00","0","0","28.65","33.2932406313721","29.3318079356125"
"Year 1 Apr 18 02:00","0","0","27.65","33.0436710654585","28.616302054693"
"Year 1 Apr 18 03:00","0","0","26.65","32.7770964489843","27.9253289812954"
"Year 1 Apr 18 04:00","0","0","25.425","32.4954105657079","27.1072389613795"
"Year 1 Apr 18 05:00","0","0","24.05","32.1967343567464","26.1507542266379"
"Year 1 Apr 18 06:00","0","0","22.725","31.8751185984419","25.1485578005558"
"Year 1 Apr 18 07:00","37","43","23.675","31.5322269914846","25.843351390183"
"Year 1 Apr 18 08:00","126","241.75","25.3","31.2070741341705","28.2612094024906"
"Year 1 Apr 18 09:00","182.25","500.25","26.975","30.97037372865","30.2218524055571"
"Year 1 Apr 18 10:00","196.5","679.25","29.5","30.8734443842684","32.5209488510783"
"Year 1 Apr 18 11:00","185.5","794.75","32.3","30.927012637303","34.5396437304181"
"Year 1 Apr 18 12:00","166.25","864","35.1","31.1181402203914","36.2678064046621"
"Year 1 Apr 18 13:00","165.75","874.75","36.325","31.4223445488985","37.3880706563271"
"Year 1 Apr 18 14:00","166","856","37.1","31.7921546184059","38.2434330541501"
"Year 1 Apr 18 15:00","178.5","787.75","37.825","32.1958817614215","38.9704721336279"
"Year 1 Apr 18 16:00","176.75","678.25","38.075","32.6117312753061","39.1970752913088"
"Year 1 Apr 18 17:00","156.75","491.25","38.25","33.0203741806586","38.9933258665509"
"Year 1 Apr 18 18:00","102.25","216","38.375","33.3859280555082","38.5747934215838"
"Year 1 Apr 18 19:00","15.5","0","37.2","33.6948620076606","36.0960388777074"
"Year 1 Apr 18 20:00","0","0","35.6","33.9002497217362","34.610950034028"
"Year 1 Apr 18 21:00","0","0","34","33.9745888729494","33.4825515962822"
"Year 1 Apr 18 22:00","0","0","33.075","33.9397693575219","32.6836768443479"
"Year 1 Apr 18 23:00","0","0","32.45","33.8339686661232","32.0918965144171"
"Year 1 Apr 19 00:00","0","0","31.775","33.6849089631628","31.5347654242615"
"Year 1 Apr 19 01:00","0","0","30.925","33.5098314634881","30.9097807892126"
"Year 1 Apr 19 02:00","0","0","30.1","33.3177598636407","30.2904346006797"
"Year 1 Apr 19 03:00","0","0","29.225","33.1114361062295","29.6553545461867"
"Year 1 Apr 19 04:00","0","0","28.25","32.8920877301041","28.9785991231565"
"Year 1 Apr 19 05:00","0","0","27.25","32.6580130893519","28.2778338713473"
"Year 1 Apr 19 06:00","0","0","26.25","32.4079873480516","27.5499647287469"
"Year 1 Apr 19 07:00","36","46.5","26.3","32.141944249764","27.9578302901399"
"Year 1 Apr 19 08:00","118.5","260.5","26.7","31.8813161956826","29.7452376846505"
"Year 1 Apr 19 09:00","160","536","27.1","31.6874646340601","30.6961959320039"
"Year 1 Apr 19 10:00","158.75","724","29.075","31.5887999983556","32.2675576057497"
"Year 1 Apr 19 11:00","163.25","815","31.5","31.5925524736551","34.0423311823406"
"Year 1 Apr 19 12:00","206","815.25","33.975","31.6995434595523","35.9946833624279"
"Year 1 Apr 19 13:00","175.5","862.75","36.025","31.915906146353","37.2679335575666"
"Year 1 Apr 19 14:00","167","856.25","37.925","32.2169011780692","38.5963722730647"
"Year 1 Apr 19 15:00","173.75","797.5","39","32.5776307967391","39.6340277951476"
"Year 1 Apr 19 16:00","168","696.25","38.975","32.9768654374783","39.7493650624535"
"Year 1 Apr 19 17:00","140.75","522.5","38.75","33.386206251883","39.3334703721245"
"Year 1 Apr 19 18:00","106.25","208.5","38.475","33.7521515276677","38.815153454217"
"Year 1 Apr 19 19:00","16","0","36.975","34.0544484624904","36.4089810466433"
"Year 1 Apr 19 20:00","0","0","35","34.2487276477801","34.7694971743268"
"Year 1 Apr 19 21:00","0","0","33.075","34.3090872862257","33.3860649155428"
"Year 1 Apr 19 22:00","0","0","32.075","34.2533251480503","32.4717930505528"
"Year 1 Apr 19 23:00","0","0","31.3","34.1184481205961","31.7597256262524"
"Year 1 Apr 20 00:00","0","0","30.575","33.9328904539819","31.1208102590427"
"Year 1 Apr 20 01:00","0","0","29.95","33.720004066791","30.5341413835214"
"Year 1 Apr 20 02:00","0","0","29.35","33.4920304373877","29.9783494242417"
"Year 1 Apr 20 03:00","0","0","28.75","33.2561127581256","29.4316484640673"
"Year 1 Apr 20 04:00","0","0","28.075","33.0140688198495","28.8810818766684"
"Year 1 Apr 20 05:00","0","0","27.3","32.7659058325727","28.3009068530037"
"Year 1 Apr 20 06:00","0","0","26.575","32.5106788224786","27.7410728684585"
"Year 1 Apr 20 07:00","37","46.75","26.85","32.248410132308","28.3162707195754"
"Year 1 Apr 20 08:00","119.5","261.75","27.45","32.0059663884698","30.2748807531414"
"Year 1 Apr 20 09:00","161","537.25","28.05","31.8371974471251","31.4023175194997"
"Year 1 Apr 20 10:00","160.25","722.25","29.775","31.7712658009291","32.9481296877007"
"Year 1 Apr 20 11:00","141.5","836.75","31.8","31.8084872894326","34.4189585743344"
"Year 1 Apr 20 12:00","134.25","888.75","33.875","31.9405190332646","35.7963785718668"
"Year 1 Apr 20 13:00","174.25","863.5","35.525","32.1568430199261","37.1300490058688"
"Year 1 Apr 20 14:00","158","870.75","37.1","32.4398473707615","38.2403132269808"
"Year 1 Apr 20 15:00","163","818","38.625","32.772676598983","39.3116420803502"
"Year 1 Apr 20 16:00","167.25","701.25","38.85","33.1417015450764","39.5555967450246"
"Year 1 Apr 20 17:00","153","506","38.65","33.522634041335","39.2399736680787"
"Year 1 Apr 20 18:00","102.5","222","38.45","33.8705170590313","38.7566881047483"
"Year 1 Apr 20 19:00","16","0","37.575","34.1627181507128","36.6575403979067"
"Year 1 Apr 20 20:00","0","0","36.4","34.3607103679436","35.4895663998649"
"Year 1 Apr 20 21:00","0","0","35.275","34.44529723572","34.6094389596502"
"Year 1 Apr 20 22:00","0","0","34.175","34.4383643944975","33.7694378087317"
"Year 1 Apr 20 23:00","0","0","33","34.3661068783925","32.893306455803"
"Year 1 Apr 21 00:00","0","0","31.875","34.2434354440587","32.039284616706"
"Year 1 Apr 21 01:00","0","0","30.925","34.0789416751323","31.2896625609144"
"Year 1 Apr 21 02:00","0","0","30.1","33.8827314690194","30.6271464345363"
"Year 1 Apr 21 03:00","0","0","29.225","33.6634423670351","29.9523171621624"
"Year 1 Apr 21 04:00","0","0","28.25","33.4272032914667","29.2237617282879"
"Year 1 Apr 21 05:00","0","0","27.25","33.1745406133406","28.4615004564547"
"Year 1 Apr 21 06:00","0","0","26.25","32.9050924425285","27.7242302785443"
"Year 1 Apr 21 07:00","37.25","46.75","26.375","32.6192350766205","28.1600546440162"
"Year 1 Apr 21 08:00","121.25","258.25","26.8","32.3404617836634","29.9650952512133"
"Year 1 Apr 21 09:00","167.25","519","27.275","32.1315930139378","31.0627678792847"
"Year 1 Apr 21 10:00","179","683","28.75","32.0225956860895","32.4986011065649"
"Year 1 Apr 21 11:00","186","762","30.55","32.0160174372344","33.9710908185111"
"Year 1 Apr 21 12:00","191.5","794.5","32.35","32.1040807019036","35.3126086018626"
"Year 1 Apr 21 13:00","196.25","802.75","34","32.2772608082148","36.5303313314406"
"Year 1 Apr 21 14:00","184.5","798.75","35.6","32.521085811717","37.7398088876096"
"Year 1 Apr 21 15:00","183.25","743.25","37.2","32.8199562833247","38.9344132085829"
"Year 1 Apr 21 16:00","209.5","585.25","37.825","33.1612442989417","39.6486728241375"
"Year 1 Apr 21 17:00","189","381.5","38.05","33.5310272285078","39.5144578076078"
"Year 1 Apr 21 18:00","114","150","38.325","33.8910417527904","38.7831402235677"
"Year 1 Apr 21 19:00","16.5","0","37.35","34.2007515344168","36.3943874573072"
"Year 1 Apr 21 20:00","0","0","35.95","34.404321556917","35.0087622771296"
"Year 1 Apr 21 21:00","0","0","34.55","34.4782877053321","33.9992997445848"
"Year 1 Apr 21 22:00","0","0","33.6","34.44768937354","33.2295014711201"
"Year 1 Apr 21 23:00","0","0","32.8","34.3488626359804","32.5721276519969"
"Year 1 Apr 22 00:00","0","0","32","34.2059838764378","31.9435544623254"
"Year 1 Apr 22 01:00","0","0","30.975","34.0337613004714","31.2486077210038"
"Year 1 Apr 22 02:00","0","0","29.8","33.8381381794126","30.4848967869194"
"Year 1 Apr 22 03:00","0","0","28.675","33.6223575455321","29.7087354943072"
"Year 1 Apr 22 04:00","0","0","27.875","33.3860639450298","29.0486524814719"
"Year 1 Apr 22 05:00","0","0","27.25","33.1320117543098","28.4813630617255"
"Year 1 Apr 22 06:00","0","0","26.575","32.8649482044711","27.9281078733024"
"Year 1 Apr 22 07:00","38","42.5","26.7","32.5889562358802","28.5404620345075"
"Year 1 Apr 22 08:00","147","160.5","27.1","32.3326739089664","30.5706987550483"
"Year 1 Apr 22 09:00","249.5","243.5","27.5","32.1538843477142","32.1703201577958"
"Year 1 Apr 22 10:00","217.75","621.75","28.875","32.08951050876","33.4931081445292"
"Year 1 Apr 22 11:00","192.25","774.75","30.65","32.1365574284971","34.6238766726508"
"Year 1 Apr 22 12:00","161.5","855.5","32.375","32.2706117039225","35.4725726736239"
"Year 1 Apr 22 13:00","130","899","33.925","32.4669022379533","36.3915309463599"
"Year 1 Apr 22 14:00","156","845.25","35.35","32.7062362259801","37.6226719109241"
"Year 1 Apr 22 15:00","217","709","36.825","32.9837378960464","39.0546796222432"
"Year 1 Apr 22 16:00","162","667.5","37.125","33.3047877646325","39.0762616533252"
"Year 1 Apr 22 17:00","144.5","487.5","36.95","33.6471788540925","38.7444027327043"
"Year 1 Apr 22 18:00","104.25","200.25","36.825","33.9599019361919","38.2571035146738"
"Year 1 Apr 22 19:00","16.5","0","35.975","34.2203270919266","36.0362312458271"
"Year 1 Apr 22 20:00","0","0","34.95","34.3867606051386","34.8143949679171"
"Year 1 Apr 22 21:00","0","0","33.875","34.4387525322682","33.8702153313382"
"Year 1 Apr 22 22:00","0","0","32.475","34.3977353314958","32.8558008650647"
"Year 1 Apr 22 23:00","0","0","31.05","34.2852702464894","31.7687543329707"
"Year 1 Apr 23 00:00","0","0","29.575","34.11468681923","30.6727364241707"
"Year 1 Apr 23 01:00","0","0","28.825","33.8955689461074","29.9111018853797"
"Year 1 Apr 23 02:00","0","0","28.25","33.6437018300435","29.3150450879599"
"Year 1 Apr 23 03:00","0","0","27.725","33.3708859116878","28.7797955454868"
"Year 1 Apr 23 04:00","0","0","27.075","33.0894669384244","28.2351220028802"
"Year 1 Apr 23 05:00","0","0","26.45","32.8036557769158","27.6965780921301"
"Year 1 Apr 23 06:00","0","0","25.775","32.5138909379762","27.1512348327756"
"Year 1 Apr 23 07:00","38.75","48.25","25.975","32.2259445271153","27.7224145148185"
"Year 1 Apr 23 08:00","123.25","265.75","26.4","31.9606557547615","29.6375839130461"
"Year 1 Apr 23 09:00","164.25","534.5","26.875","31.7692402041759","30.6725582206571"
"Year 1 Apr 23 10:00","164.25","717.25","28.425","31.678736186026","32.1582968166119"
"Year 1 Apr 23 11:00","156.75","820","30.25","31.6884043920447","33.665535988121"
"Year 1 Apr 23 12:00","173","847","32.125","31.7909944110774","35.1156118281221"
"Year 1 Apr 23 13:00","185","848","33.725","31.9790643188358","36.317975910582"
"Year 1 Apr 23 14:00","172","845.75","35.3","32.2377130436875","37.4056062039499"
"Year 1 Apr 23 15:00","166.75","798.25","36.825","32.548136776299","38.3978650077153"
"Year 1 Apr 23 16:00","186.25","654.25","37.275","32.891073250016","38.9499869773608"
"Year 1 Apr 23 17:00","173.5","430.25","37.3","33.2507609762324","38.8397805159784"
"Year 1 Apr 23 18:00","114.75","147.75","37.375","33.5940065562154","38.2313881521914"
"Year 1 Apr 23 19:00","16.5","0","36.425","33.8876456046529","35.8417430839756"
"Year 1 Apr 23 20:00","0","0","35.05","34.0796216442724","34.5313328029812"
"Year 1 Apr 23 21:00","0","0","33.725","34.1449827309572","33.5304166603172"
"Year 1 Apr 23 22:00","0","0","32.575","34.1093544875238","32.6834523094537"
"Year 1 Apr 23 23:00","0","0","31.4","34.0032215092939","31.8638289370198"
"Year 1 Apr 24 00:00","0","0","30.275","33.8462287749494","31.0502000330026"
"Year 1 Apr 24 01:00","0","0","29.475","33.6527756619066","30.3154629155961"
"Year 1 Apr 24 02:00","0","0","28.85","33.4346987357554","29.7302636559212"
"Year 1 Apr 24 03:00","0","0","28.175","33.198461230112","29.1838185410763"
"Year 1 Apr 24 04:00","0","0","27.775","32.9510770791579","28.7645084241196"
"Year 1 Apr 24 05:00","0","0","27.4","32.700017785279","28.4147057562317"
"Year 1 Apr 24 06:00","0","0","27.075","32.4487080924689","28.1222848555976"
"Year 1 Apr 24 07:00","39.5","34.75","27.225","32.2056836813143","28.7810841730652"
"Year 1 Apr 24 08:00","142.25","152.75","27.6","31.9908096671977","30.8201722679134"
"Year 1 Apr 24 09:00","247.25","224.25","27.925","31.8535247164347","32.2850908823097"
"Year 1 Apr 24 10:00","314.75","328","29.5","31.8247963806892","34.1601348242785"
"Year 1 Apr 24 11:00","376.5","369.75","31.5","31.9108753369675","36.1350764703262"
"Year 1 Apr 24 12:00","439","349.75","33.5","32.1084294142362","37.8854304212044"
"Year 1 Apr 24 13:00","493.75","245","34.6","32.4079575104382","39.2294538915327"
"Year 1 Apr 24 14:00","468.5","168","35.4","32.7810623714699","40.0962773684106"
"Year 1 Apr 24 15:00","398.25","107.5","36.2","33.200272646399","40.2819456860202"
"Year 1 Apr 24 16:00","330.25","68.25","33.925","33.6131344564964","39.0154740474246"
"Year 1 Apr 24 17:00","226.5","29.5","30.55","33.9520990164987","36.3878402687626"
"Year 1 Apr 24 18:00","102.5","7.5","27.225","34.1548196468726","33.081186893322"
"Year 1 Apr 24 19:00","11.5","0","28.35","34.1784070064074","31.2569281680283"
"Year 1 Apr 24 20:00","0","0","30.95","34.0653755621624","31.39519435754"
"Year 1 Apr 24 21:00","0","0","33.55","33.8713962796224","32.2179939352167"
"Year 1 Apr 24 22:00","0","0","33.525","33.6793612801767","32.3307162700331"
"Year 1 Apr 24 23:00","0","0","32.7","33.517398674748","31.9689122586649"
"Year 1 Apr 25 00:00","0","0","31.825","33.3814487401302","31.4693295875168"
"Year 1 Apr 25 01:00","0","0","31.225","33.2504565107455","31.0184263918657"
"Year 1 Apr 25 02:00","0","0","30.65","33.1140072299086","30.5876669873728"
"Year 1 Apr 25 03:00","0","0","30.125","32.9672544389275","30.1936793104778"
"Year 1 Apr 25 04:00","0","0","29.325","32.8104690021437","29.6836787447573"
"Year 1 Apr 25 05:00","0","0","28.5","32.6420195180557","29.1137329418806"
"Year 1 Apr 25 06:00","0","0","27.625","32.4584020562447","28.4978358596599"
"Year 1 Apr 25 07:00","39.5","43.5","27.475","32.2591014966173","28.9931053974588"
"Year 1 Apr 25 08:00","127","247.5","27.65","32.0650567680332","30.8474961034862"
"Year 1 Apr 25 09:00","170.25","520","27.775","31.9308251836894","31.9331384665825"
"Year 1 Apr 25 10:00","169","709.25","29.375","31.8882186406664","33.2891068731113"
"Year 1 Apr 25 11:00","170","806","31.4","31.9397140152705","34.7888300016663"
"Year 1 Apr 25 12:00","209.25","811.25","33.475","32.0775942835947","36.3398314510905"
"Year 1 Apr 25 13:00","180.25","855","35.2","32.3006011565446","37.3970132854958"
"Year 1 Apr 25 14:00","173.25","846.75","36.8","32.5897662977594","38.5837922900271"
"Year 1 Apr 25 15:00","177","791.25","38.4","32.9247571820331","39.7512300287274"
"Year 1 Apr 25 16:00","174","687.25","39.1","33.2989127538169","40.2077061194338"
"Year 1 Apr 25 17:00","157","499.75","39.5","33.690037419294","40.1945011020573"
