1,"Building 1.eso"

"Date/Time","[1] Site Diffuse Solar Radiation Rate per Area  (W/m2)","[1] Site Direct Solar Radiation Rate per Area  (W/m2)","[1] Site Outdoor Air Drybulb Temperature  (C)","[1] Surface Inside Face Conduction Heat Transfer Rate  (W)","[1] Surface Inside Face Temperature  (C)","[1] Surface Outside Face Temperature  (C)"
,"Environment","Environment","Environment","BLOCK1:ZONE1_WALL_3_0_0","BLOCK1:ZONE1_WALL_3_0_0","BLOCK1:ZONE1_WALL_3_0_0"
"Year 1 Jan 08 01:00","0","0","16.75","77.4414162842346","30.0322427284589","21.5714272531381"
"Year 1 Jan 08 02:00","0","0","16.15","25.1567936842153","29.4295671749538","20.9642631868175"
"Year 1 Jan 08 03:00","0","0","15.55","-20.3994201690001","28.8453286667844","20.5086320129824"
"Year 1 Jan 08 04:00","0","0","14.5","-58.5730781299566","28.2904632372718","19.6773102806743"
"Year 1 Jan 08 05:00","0","0","13.3","-89.7144375504506","27.759691879214","18.5875865215497"
"Year 1 Jan 08 06:00","0","0","12.1","-116.39014714848","27.2346756346247","17.4393656396469"
"Year 1 Jan 08 07:00","0","0","13.075","-144.248346151523","26.7158485149812","17.1841854739384"
"Year 1 Jan 08 08:00","34.25","53.25","14.775","-173.084093665144","26.2161651566306","19.0831585463568"
"Year 1 Jan 08 09:00","106.5","293.75","16.475","-195.280745666489","25.7849019674163","26.0252897924708"
"Year 1 Jan 08 10:00","130.75","581.75","18.175","-196.781767127605","25.5746095301883","34.8648942834073"
"Year 1 Jan 08 11:00","129","733.75","19.875","-162.618452018369","25.7612761274162","42.1529779490397"
"Year 1 Jan 08 12:00","147.5","759.5","21.575","-91.8812031500135","26.4034289540186","47.2447009498956"
"Year 1 Jan 08 13:00","201","664.25","22.45","1.04672828808485","27.4312205990756","49.0541349112981"
"Year 1 Jan 08 14:00","256.25","494.25","23.05","111.30216117055","28.6323300849829","47.7892245380909"
"Year 1 Jan 08 15:00","258.25","340","23.65","213.657249414237","29.8034653143938","44.4046393453906"
"Year 1 Jan 08 16:00","188.25","286.75","23.725","288.527611196814","30.7868155946424","41.740913398692"
"Year 1 Jan 08 17:00","128","112","23.55","334.894149893516","31.4863724637861","36.8731609826061"
"Year 1 Jan 08 18:00","33","9.75","23.425","349.159625731294","31.8832471404702","32.1522224173972"
"Year 1 Jan 08 19:00","0","0","22.575","330.84147632291","31.9594642662436","29.0338236427396"
"Year 1 Jan 08 20:00","0","0","21.4","290.027963407515","31.759711378107","26.8189320632487"
"Year 1 Jan 08 21:00","0","0","20.275","236.886692153193","31.3705664000038","24.9751797798503"
"Year 1 Jan 08 22:00","0","0","19.25","178.352129175541","30.8726122817128","23.5720477043512"
"Year 1 Jan 08 23:00","0","0","18.25","121.151257667313","30.3132772483835","22.3933534063973"
"Year 1 Jan 09 00:00","0","0","17.25","66.7610783835087","29.7328298092684","21.3037258415482"
"Year 1 Jan 09 01:00","0","0","16.625","17.2302497484841","29.1493396397075","20.5647850449305"
"Year 1 Jan 09 02:00","0","0","16.05","-27.0852893352879","28.5760440063761","19.9909962749748"
"Year 1 Jan 09 03:00","0","0","15.525","-64.8812609962801","28.0223362261216","19.5133670573995"
"Year 1 Jan 09 04:00","0","0","15.025","-95.690710630853","27.4915657447743","18.9620212094702"
"Year 1 Jan 09 05:00","0","0","14.45","-123.553560105313","26.9951783507137","18.3667072285383"
"Year 1 Jan 09 06:00","0","0","13.925","-147.880982897052","26.526195148249","17.7935863643056"
"Year 1 Jan 09 07:00","0","0","13.575","-169.2268549763","26.0763433377859","17.2656839307086"
"Year 1 Jan 09 08:00","33.5","54.5","13.35","-188.115396141324","25.6424362376304","18.3666639029475"
"Year 1 Jan 09 09:00","108.25","295.25","13.075","-202.399107805175","25.2474770184474","24.3255490281046"
"Year 1 Jan 09 10:00","129.75","590","15.475","-201.186110011094","25.0231736929703","32.963348904486"
"Year 1 Jan 09 11:00","106.25","789.25","18.7","-172.472182188829","25.165037460282","40.6869940975415"
"Year 1 Jan 09 12:00","126.5","811.25","21.975","-107.496815595291","25.7548967325891","46.2191821097153"
"Year 1 Jan 09 13:00","169.75","738.75","23.4","-17.7373159195307","26.7469762532163","49.1439197088124"
"Year 1 Jan 09 14:00","244","535","24.2","89.8327307326328","27.9682109315793","48.1957523625983"
"Year 1 Jan 09 15:00","250.25","394.75","25","196.249675742441","29.1974893137287","45.5712554646752"
